name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
Las Vegas Sands Corp.,$29.07 B,LVS,United States,Consumer Discretionary,Resorts & Casinos,"LasVegas,NV,UnitedStates"," November 17, 1988"," 44,500", Mr. Robert Glen Goldstein
Tongwei Co. Ltd,$29.10 B,600438,China,Consumer Staples,Farm Products,"Chengdu,China",," 25,549",
Rogers Communications Inc.,$29.13 B,RCI.B,Canada,Communication Services,Telecom Services,"Toronto,ON,Canada",," 23,000"," Mr. Anthony  Staffieri F.C.A., FCA, FCPA"
Electricité de France SA,$29.17 B,EDF,France,Utilities,Utilities—Diversified,"Paris,France",," 163,423", Mr. Jean-Bernard  Levy
"Amadeus IT Group, SA",$29.19 B,AMS,Spain,Technology,Information Technology Services,"Madrid,Spain",," 15,936", Mr. Luis  Maroto Camino
"Astellas Pharma, Inc.",$29.22 B,4503,Japan,Healthcare,Drug Manufacturers—General,"Tokyo,Japan",," 15,455", Mr. Kenji  Yasukawa Ph.D.
"Keysight Technologies, Inc.",$29.40 B,KEYS,United States,Technology,Scientific & Technical Instruments,"SantaRosa,CA,UnitedStates", 2014," 14,300", Mr. Ronald S. Nersesian
Ball Corporation,$29.40 B,BLL,United States,Consumer Discretionary,Packaging & Containers,"Westminster,CA,UnitedStates", 1880," 24,300", Mr. John A. Hayes
Saudi Electricity Company,$29.42 B,5110,Saudi Arabia,Utilities,Utilities—Regulated Electric,"Riyadh,SaudiArabia",,,
Weyerhaeuser Company,$29.42 B,WY,United States,Real Estate,REIT—Specialty,"Seattle,WA,UnitedStates", 1900," 9,214"," Mr. Devin W. Stockfish Esq., J.D."
"Nasdaq, Inc.",$29.52 B,NDAQ,United States,Financials,Financial Data & Stock Exchanges,"NewYork,NY,UnitedStates"," February 8, 1971"," 5,814", Ms. Adena T. Friedman
Spotify Technology SA,$29.56 B,SPOT,Luxembourg,                                        Communication Services                                    ,                                        Internet Content & Information                                    ,"Luxembourg,Luxembourg", 23 April 2006," 6,617", Mr. Daniel G. Ek
"Copart, Inc.",$29.58 B,CPRT,United States,Industrials,Specialty Business Services,"Dallas,TX,UnitedStates"," Vallejo, California 1982"," 8,600", Mr. A. Jayson Adair
Cathay Financial Holding Co. Ltd,$29.58 B,2882,Taiwan,Financials,Insurance—Life,"Taipei,Taiwan",," 57,347",
UniCredit S.p.A.,$29.65 B,UCG,Italy,Financials,Banks,"Milan,MI,Italy",," 80,879", Mr. Andrea  Orcel
KBC Group NV,$29.81 B,KDB,Belgium,Financials,Banks,"Brussels,Belgium",," 33,916", Mr. Johan  Thijs
"Match Group, Inc.",$29.82 B,MTCH,United States,Communication Services,Internet Content & Information,"Dallas,TX,UnitedStates", 1986," 2,500", Ms. Sharmistha  Dubey
Willis Towers Watson plc,$29.85 B,WLTW,United Kingdom,Financials,Insurance Brokers,"London,UnitedKingdom", 5 January 2016," 46,000", Mr. Carl A. Hess
Riyad Bank,$29.86 B,1010,Saudi Arabia,Financials,Banks,"Riyadh,SaudiArabia",," 5,660", Mr. Mohammed Abdullah Al-Yahya
Vestas Wind Systems A-S,$29.93 B,VWS,Denmark,Industrials,Specialty Industrial Machinery,"Aarhus,Denmark",," 29,427", Mr. Henrik  Andersen
Cummins Inc.,$29.94 B,CMI,United States,Industrials,Specialty Industrial Machinery,"Columbus,IN,UnitedStates", 1919," 59,900", Mr. N. Thomas Linebarger
ASSA ABLOY AB,$30.05 B,ALZ,Sweden,Industrials,Security & Protection Services,"Stockholm,Sweden",," 51,000", Mr. Nico  Delvaux
"Alexandria Real Estate Equities, Inc.",$30.10 B,ARE,United States,Real Estate,REIT—Office,"Pasadena,CA,UnitedStates", October 1994, 559, Mr. Peter M. Moglia
Compagnie de Saint-Gobain SA,$30.16 B,SGO,France,Industrials,Building Products & Equipment,"Courbevoie,France",," 167,816", Mr. Benoit  Bazin
"West Pharmaceutical Services, Inc.",$30.23 B,WST,United States,Healthcare,Medical Instruments & Supplies,"Exton,PA,UnitedStates", 1923," 10,065", Mr. Eric M. Green
Fujitsu Ltd,$30.28 B,6702,Japan,Technology,Information Technology Services,"Tokyo,Japan",," 126,371", Mr. Takahito  Tokita
"American Water Works Company, Inc.",$30.43 B,AWK,United States,Utilities,Utilities—Regulated Water,"Camden,NJ,UnitedStates", 1886," 6,400", Ms. M. Susan Hardwick
"CBRE Group, Inc.",$30.45 B,CBRE,United States,Real Estate,Real Estate Services,"LosAngeles,CA,UnitedStates"," August 27, 1906"," 105,000", Mr. Robert E. Sulentic
Fifth Third Bancorp,$30.46 B,FITB,United States,Financials,Banks,"Cincinnati,OH,UnitedStates"," June 17, 1858"," 19,112", Mr. Gregory D. Carmichael
BAE Systems plc,$30.51 B,BA.,United Kingdom,Industrials,Aerospace & Defense,"London,UnitedKingdom", 30 November 1999," 89,600",
Ferguson plc,$30.52 B,FERG,United Kingdom,Industrials,Industrial Distribution,"Wokingham,UnitedKingdom",," 31,000", Mr. Kevin  Murphy
"Shimano, Inc.",$21.51 B,7309,Japan,Consumer Discretionary,Leisure,"Sakai,Japan",," 12,244", Mr. Yozo  Shimano
"Contura Energy, Inc.",$21.57 B,CTRA,United States,Energy,Thermal Coal,"Bristol,TN,UnitedStates"," July 26, 2016", 936, Mr. Thomas E. Jorden
"B3 S.A. - Brasil, Bolsa, Balcao",$21.58 B,B3SA3,Brazil,Financials,Financial Data & Stock Exchanges,"SaoPaulo,SP,Brazil",,, Mr. Gilson  Finkelsztain
Teledyne Technologies Incorporated,$21.65 B,TDY,United States,Technology,Scientific & Technical Instruments,"ThousandOaks,CA,UnitedStates", 1960," 14,500", Dr. Robert  Mehrabian
KeyCorp,$21.71 B,KEY,United States,Financials,Banks,"Cleveland,OH,UnitedStates", 1825," 17,654", Mr. Christopher Marrott Gorman
M&T Bank Corporation,$21.74 B,MTB,United States,Financials,Banks,"Buffalo,NY,UnitedStates"," August 29, 1856"," 17,115", Mr. Rene F. Jones CPA
"Dai-ichi Life Holdings, Inc.",$21.76 B,8750,Japan,Financials,Insurance—Life,"Tokyo,Japan",," 64,823",
"Ulta Beauty, Inc.",$21.82 B,ULTA,United States,Consumer Discretionary,Specialty Retail,"Bolingbrook,IL,UnitedStates", 1990," 16,000", Mr. David C. Kimbell
Zebra Technologies Corporation,$21.87 B,ZBRA,United States,Technology,Communication Equipment,"Lincolnshire,IL,UnitedStates", 1969," 9,800", Mr. Anders  Gustafsson
"Monolithic Power Systems, Inc.",$21.87 B,MPWR,United States,Technology,Semiconductors,"Kirkland,WA,UnitedStates", 1997," 2,773", Mr. Michael R. Hsing
Restaurant Brands International Limited Partnership,$21.89 B,QSP.UN,Canada,Consumer Discretionary,Restaurants,"Toronto,ON,Canada",," 5,700",
Duke Realty Corporation,$21.93 B,DRE,United States,Real Estate,REIT—Industrial,"Indianapolis,IN,UnitedStates", 1972, 340, Mr. James B. Connor
Huntington Bancshares Incorporated,$21.93 B,HBAN,United States,Financials,Banks,"Columbus,OH,UnitedStates", 1866," 18,442", Mr. Stephen D. Steinour
CNH Industrial N.V.,$21.93 B,CNHI,United Kingdom,Industrials,Farm & Heavy Construction Machinery,"London,UnitedKingdom", 2012," 71,895", Mr. Scott Wellington Wine
NIBE Industrier AB,$21.93 B,NJB,Sweden,Industrials,Building Products & Equipment,"Markaryd,Sweden",," 20,400", Mr. Gerteric  Lindquist
"CF Industries Holdings, Inc.",$21.95 B,CF,United States,Basic Materials,Agricultural Inputs,"Deerfield,IL,UnitedStates", 1946 ," 2,970", Mr. W. Anthony Will
Cincinnati Financial Corporation,$21.99 B,CINF,United States,Financials,Insurance—Property & Casualty,"Fairfield,OH,UnitedStates"," Cincinnati, Ohio, U.S 1950"," 5,166"," Mr. Steven Justus Johnston C.F.A., CERA, CFA, FCAS, MAAA"
Toyota Industries Corp,$21.99 B,6201,Japan,Consumer Discretionary,Auto Manufacturers,"Kariya,Japan",," 66,947",
Geberit AG,$22.03 B,GEBN,Switzerland,Industrials,Building Products & Equipment,"Rapperswil-Jona,Switzerland",," 11,149", Dr. Christian  Buhl
ZTO Express (Cayman) Inc.,$22.05 B,ZTO,China,Industrials,Integrated Freight & Logistics,"Shanghai,China",," 22,536", Mr. Meisong  Lai
Unicharm Corp,$22.08 B,8113,Japan,Consumer Staples,Household & Personal Products,"Tokyo,Japan",," 16,665", Mr. Takahisa  Takahara
XP Inc.,$22.16 B,XPBR31,Brazil,Financials,Capital Markets,"SÃ£oPaulo,SP,Brazil", May 2001," 3,000", Mr. Thiago  Maffra
"Skyworks Solutions, Inc.",$22.17 B,SWKS,United States,Technology,Semiconductors,"Irvine,CA,UnitedStates", 2002," 11,000", Mr. Liam K. Griffin
CRRC Corp Ltd,$22.21 B,601766,China,Industrials,Railroads,"Beijing,China",," 164,177",
"Continental Resources, Inc.",$22.25 B,CLR,United States,Energy,Oil & Gas E&P,"OklahomaCity,OK,UnitedStates",," 1,254"," Mr. William B. Berry B.Sc., M.Sc."
"Huntington Bancshares, Inc.",$22.26 B,HU3,United States,Financials,Banks,"Columbus,OH,UnitedStates",," 18,442", Mr. Stephen D. Steinour
"Fomento Económico Mexicano, S.A.B. de C.V.",$22.28 B,FEMSAUB,Mexico,Consumer Staples,Beverages—Brewers,"Monterrey,NL,Mexico", 1890," 320,808", Mr. Alfonso  Garza Garza
Teleperformance SE,$22.30 B,TEP,France,Industrials,Consulting Services,"Paris,France",," 420,000", Mr. Daniel  Julien
"Bio-Rad Laboratories, Inc.",$22.32 B,BIO,United States,Healthcare,Medical Devices,"Hercules,CA,UnitedStates", 1952," 7,900", Mr. Norman D. Schwartz
Hennes & Mauritz AB,$22.33 B,HM.B,Sweden,Consumer Discretionary,Apparel Manufacturing,"Stockholm,Sweden",," 155,000",
Banco do Brasil SA,$22.36 B,BBAS3,Brazil,Financials,Banks,"Brasilia,DF,Brazil",," 84,597", Mr. Fausto  de Andrade Ribeiro
Tata Motors Limited,$22.38 B,TTM,India,Consumer Discretionary,Auto Manufacturers,"Mumbai,India", 1945," 75,278", Mr. Thierry Yves Henri  Bollore
Sumitomo Corp,$22.42 B,8053,Japan,Industrials,Conglomerates,"Tokyo,Japan",," 74,920", Mr. Masayuki  Hyodo
China National Nuclear Power Co. Ltd,$22.42 B,601985,China,Utilities,Utilities—Independent Power Producers,"Beijing,China",," 14,506",
"Okta, Inc.",$22.45 B,OKTA,United States,Technology,Software—Infrastructure,"SanFrancisco,CA,UnitedStates", January 2009," 5,030", Mr. Todd  McKinnon
EMS-CHEMIE HOLDING AG,$22.48 B,EMSN,Switzerland,Basic Materials,Specialty Chemicals,"Domat/Ems,Switzerland",," 2,646", Ms. Magdalena  Martullo-Blocher
"Essex Property Trust, Inc.",$22.51 B,ESS,United States,Real Estate,REIT—Residential,"SanMateo,CA,UnitedStates", 1971," 1,739", Mr. Michael J. Schall CPA
Coca-Cola Europacific Partners plc,$22.53 B,CCEP,United Kingdom,Consumer Staples,Beverages—Non-Alcoholic,"Uxbridge,UnitedKingdom",," 22,000", Mr. Damian Paul Gammell
The Hong Kong and China Gas Company Ltd,$22.54 B,0003,Hong Kong,Utilities,Utilities—Regulated Gas,"NorthPoint,HongKong",," 55,302",
Komatsu Ltd,$22.56 B,6301,Japan,Industrials,Farm & Heavy Construction Machinery,"Tokyo,Japan",," 61,564", Mr. Hiroyuki  Ogawa
Grupo Financiero Banorte SAB de CV,$22.60 B,GFNORTEO,Mexico,Financials,Banks,"SantaFe,DF,Mexico",,, Mr. Jose Marcos  Ramirez Miguel
PICC Property and Casualty Company Ltd,$22.62 B,2328,China,Financials,Insurance—Property & Casualty,"Beijing,China",," 171,508",
Kellogg Company,$22.63 B,K,United States,Consumer Staples,Packaged Foods,"BattleCreek,MI,UnitedStates"," February 19, 1906"," 31,000", Mr. Steven A. Cahillane
Hewlett Packard Enterprise Company,$22.65 B,HPE,United States,Technology,Communication Equipment,"Houston,TX,UnitedStates"," November 1, 2015"," 60,400", Mr. Antonio Fabio Neri
Shanghai International Port,$22.65 B,600018,China,Industrials,Marine Shipping,"Shanghai,China",," 14,068", Mr. Jun  Yan
UCB SA,$22.71 B,UCB,Belgium,Healthcare,Biotechnology,"Brussels,Belgium",," 8,600", Mr. Jean-Christophe  Tellier
Panasonic Corp,$22.73 B,6752,Japan,Technology,Consumer Electronics,"Kadoma,Japan",," 240,786", Mr. Yuki  Kusumi
Eurofins Scientific SE,$22.75 B,ERF,Luxembourg,                                        Healthcare                                    ,                                        Diagnostics & Research                                    ,"LuxembourgCity,Luxembourg",," 57,992", Dr. Gilles G. Martin Ph.D.
Sociedad Química y Minera de Chile SA,$22.77 B,SQM,Chile,Basic Materials,Chemicals,"Santiago,Chile"," June 11th, 1968"," 6,081",
Epiroc AB,$24.08 B,3AD2,Sweden,Industrials,Farm & Heavy Construction Machinery,"Nacka,Sweden",," 15,529", Ms. Helena  Hedblom M.Sc.
Vulcan Materials Company,$24.08 B,VMC,United States,Basic Materials,Building Materials,"Birmingham,AL,UnitedStates", 1909 as Birmingham Slag Company," 11,912", Mr. James Thomas Hill
BT Group plc,$24.09 B,BT.A,United Kingdom,Communication Services,Telecom Services,"London,UnitedKingdom", 18 June 1846," 99,700", Mr. Philip Eric Rene Jansen
FUJIFILM Holdings Corp,$24.12 B,4901,Japan,Industrials,Business Equipment & Supplies,"Tokyo,Japan",," 73,275", Mr. Teiichi  Goto
Fresenius SE & Co KGaA,$24.12 B,FRE,Germany,Healthcare,Medical Care Facilities,"BadHomburgvorderHohe,Germany",," 316,078", Mr. Stephan  Sturm
"Mid-America Apartment Communities, Inc.",$24.18 B,MAA,United States,Real Estate,REIT—Residential,"Germantown,TN,UnitedStates", 1977," 2,429", Mr. H. Eric Bolton Jr.
"Slack Technologies, Inc.",$24.30 B,WORK,United States,Technology,Software—Application,"SanFrancisco,CA,UnitedStates"," Vancouver, British Columbia, Canada 2009"," 1,664", Mr. Phanich  Sodsee
Northern Trust Corporation,$24.42 B,NTRS,United States,Financials,Asset Management,"Chicago,IL,UnitedStates", 1889," 21,100", Mr. Michael G. O'Grady
XPeng Inc.,$24.44 B,XPEV,China,Consumer Discretionary,Auto Manufacturers,"Guangzhou,China", 2014," 5,084", Mr. Xiaopeng  He
"Aena S.M.E., SA",$24.45 B,AENA,Spain,Industrials,Airports & Air Services,"Madrid,Spain",," 8,162", Mr. Maurici  Lucena Betriu
Evergreen Marine Corp,$24.49 B,2603,Taiwan,Industrials,Marine Shipping,"Taipei,Taiwan",,,
Woodside Petroleum Ltd,$24.60 B,WPL,Australia,Energy,Oil & Gas E&P,"Perth,WA,Australia", 26 July 1954," 3,684"," Ms. Marguerite Eileen O'Neill B.Sc., M.Sc."
"Live Nation Entertainment, Inc.",$24.61 B,LYV,United States,Communication Services,Entertainment,"BeverlyHills,CA,UnitedStates"," January 25, 2010"," 10,200", Mr. Michael  Rapino
China Minsheng Banking Corp Ltd,$24.65 B,600016,China,Financials,Banks,"Beijing,China",," 59,262",
Ameren Corporation,$24.79 B,AEE,United States,Utilities,Utilities—Regulated Electric,"St.Louis,MO,UnitedStates", 1997," 9,116", Mr. Martin J. Lyons Jr.
"Church & Dwight Co., Inc.",$24.81 B,CHD,United States,Consumer Staples,Household & Personal Products,"Ewing,NJ,UnitedStates"," 1847: as John Dwight and Company 1896: as Church & Dwight, Co."," 5,100", Mr. Matthew Thomas Farrell
"VeriSign, Inc.",$24.81 B,VRSN,United States,Technology,Software—Infrastructure,"Reston,VA,UnitedStates"," April 12, 1995", 902, Mr. D. James Bidzos
"Diamondback Energy, Inc.",$24.84 B,FANG,United States,Energy,Oil & Gas E&P,"Midland,TX,UnitedStates",, 870, Mr. Travis D. Stice
Seagen Inc.,$24.87 B,SGEN,United States,Healthcare,Biotechnology,"Bothell,WA,UnitedStates", 1997," 2,675", Dr. Clay B. Siegall
Palantir Technologies Inc.,$24.91 B,PLTR,United States,Technology,Software—Infrastructure,"Denver,CO,UnitedStates", 2003," 2,920", Dr. Alexander C. Karp
"Delta Air Lines, Inc.",$24.92 B,DAL,United States,Industrials,Airlines,"Atlanta,GA,UnitedStates"," March 2, 1925"," 83,000", Mr. Edward H. Bastian
"EDP Renováveis, SA",$25.01 B,EDPR,Spain,Utilities,Utilities—Renewable,"Madrid,Spain",," 2,114", Mr. Miguel Stilwell de Andrade
"Gartner, Inc.",$25.03 B,IT,United States,Technology,Information Technology Services,"Stamford,CT,UnitedStates", 1979," 16,600", Mr. Eugene A. Hall
CDW Corporation,$25.04 B,CDW,United States,Technology,Information Technology Services,"Lincolnshire,IL,UnitedStates", 1984," 13,900", Ms. Christine A. Leahy
The Mosaic Company,$25.09 B,MOS,United States,Basic Materials,Agricultural Inputs,"Tampa,FL,UnitedStates"," October 22, 2004"," 12,525", Mr. James C. O'Rourke P.Eng.
Skandinaviska Enskilda Banken AB,$25.15 B,SEB.A,Sweden,Financials,Banks,"Stockholm,Sweden",," 15,500", Mr. Johan  Torgeby
Galaxy Entertainment Group Ltd,$25.17 B,0027,Hong Kong,Consumer Discretionary,Resorts & Casinos,"Central,HongKong",," 17,088",
Legrand SA,$25.19 B,LR,France,Industrials,Specialty Industrial Machinery,"Limoges,France",," 38,207", Mr. BenoÃ®t  Coquart
"Enphase Energy, Inc.",$25.20 B,ENPH,United States,Technology,Solar,"Fremont,CA,UnitedStates", 2006," 2,260", Mr. Badrinarayanan  Kothandaraman
CK Asset Holdings Limited,$25.21 B,1113,Hong Kong,Real Estate,Real Estate—Development,"Central,HongKong",," 54,000",
Albemarle Corporation,$25.25 B,ALB,United States,Basic Materials,Specialty Chemicals,"Charlotte,NC,UnitedStates", 1994," 6,000", Mr. Jerry Kent Masters Jr.
FirstEnergy Corp.,$25.26 B,FE,United States,Utilities,Utilities—Diversified,"Akron,OH,UnitedStates"," November 7, 1997"," 12,395", Mr. Steven E. Strah
Yanzhou Coal Mining Company Ltd,$25.26 B,600188,China,Energy,Thermal Coal,"Zoucheng,China",," 63,869",
CLP Holdings Ltd,$25.29 B,0002,Hong Kong,Utilities,Utilities—Regulated Electric,"HungHom,HongKong",," 7,061", Mr. Richard Kendall  Lancaster BE
Straumann Holding AG,$25.31 B,STMN,Switzerland,Healthcare,Medical Instruments & Supplies,"Basel,Switzerland",," 8,692", Mr. Guillaume  Daniellot
Lennar Corporation,$25.34 B,LEN,United States,Consumer Discretionary,Residential Construction,"Miami,FL,UnitedStates", 1954," 10,753", Mr. Jonathan M. Jaffe
Nan Ya Plastics Corp,$25.41 B,1303,Taiwan,Basic Materials,Specialty Chemicals,"Kaohsiung,Taiwan",,,
"United Rentals, Inc.",$25.46 B,URI,United States,Industrials,Rental & Leasing Services,"Stamford,CT,UnitedStates"," August 14, 1997"," 20,400", Mr. Matthew J. Flannery
Axis Bank Ltd,$25.54 B,AXISBANK,India,Financials,Banks,"Mumbai,India",," 86,266", Mr. Amitabh  Chaudhry
Banco Santander (Brasil) SA,$25.59 B,SANB11,Brazil,Financials,Banks,"SaoPaulo,SP,Brazil", 1982," 48,834", Mr. Mario Roberto Opice Leao
"MongoDB, Inc.",$25.73 B,MDB,United States,Technology,Software—Infrastructure,"NewYork,NY,UnitedStates", 2007," 2,539", Mr. Dev C. Ittycheria
Mitsubishi Electric Corporation,$25.61 B,6503,Japan,Industrials,Electrical Equipment & Parts,"Tokyo,Japan"," January 15, 1921"," 145,653", Mr. Kei  Uruma
Laboratory Corporation of America Holdings,$25.75 B,LH,United States,Healthcare,Diagnostics & Research,"Burlington,NC,UnitedStates"," September 5, 1978"," 67,950", Mr. Adam H. Schechter
"The Hartford Financial Services Group, Inc.",$25.76 B,HIG,United States,Financials,Insurance—Diversified,"Hartford,CT,UnitedStates", 1810," 18,100", Mr. Christopher Jerome Swift CPA
EnBW Energie Baden-Wuerttemberg AG,$25.82 B,EBK,Germany,Utilities,Utilities—Diversified,"Karlsruhe,Germany",," 24,519", Dr. Frank  Mastiaux
Li Auto Inc.,$25.83 B,LI,China,Consumer Discretionary,Auto Manufacturers,"Beijing,China", 2015," 11,901", Mr. Xiang  Li
Central Japan Railway Co,$26.00 B,9022,Japan,Industrials,Railroads,"Nagoya,Japan",," 30,153",
"Telefónica, SA",$26.04 B,TEF,Spain,Communication Services,Telecom Services,"Madrid,Spain", 19 April 1924," 104,150", Mr. Jose MarÃ­a  Alvarez-Pallete Lopez
Roblox Corp,$26.05 B,RBLX,United States,Communication Services,Electronic Gaming & Multimedia,"SanMateo,CA,UnitedStates",," 1,600", Mr. David  Baszucki
China Everbright Bank Company Ltd,$26.13 B,601818,China,Financials,Banks,"Beijing,China",," 46,989",
Realty Income Corporation,$26.18 B,O,United States,Real Estate,REIT—Retail,"SanDiego,CA,UnitedStates", 1969, 367, Mr. Sumit  Roy
Sonova Holding AG,$26.22 B,SOON,Switzerland,Healthcare,Medical Instruments & Supplies,"Stafa,Switzerland",," 14,922", Mr. Arnd  Kaldowski
National Bank of Canada,$26.29 B,NA,Canada,Financials,Banks,"Montreal,QC,Canada", November 1979," 27,804", Mr. Laurent  Ferreira
"LYONDELLBASELL ADVANCED POLYMERS, Inc.",$26.38 B,SLMNP,United States,Basic Materials,Chemicals,"Fairlawn,OH,UnitedStates",," 5,300", Mr. Bhavesh V. Patel
Canon Inc.,$26.38 B,7751,Japan,Technology,Computer Hardware,"Tokyo,Japan", 10 August 1937," 184,034", Mr. Fujio  Mitarai
Deutsche Bank AG,$26.38 B,DBK,Germany,Financials,Banks,"FrankfurtamMain,Germany", 10 March 1869," 82,969", Mr. Christian  Sewing
Intact Financial Corporation,$26.40 B,IFC,Canada,Financials,Insurance—Property & Casualty,"Toronto,ON,Canada", 1809," 26,000", Mr. Charles J. G. Brindamour B.Sc.
DTE Energy Company,$26.41 B,DTE,United States,Utilities,Utilities—Regulated Electric,"Detroit,MI,UnitedStates",," 10,300", Mr. Gerard M. Anderson
Southwest Airlines Co.,$26.52 B,LUV,United States,Industrials,Airlines,"Dallas,TX,UnitedStates"," March 15, 1967"," 55,100", Mr. Robert E. Jordan
Thales SA,$26.55 B,HO,France,Industrials,Aerospace & Defense,"Courbevoie,France",," 81,098", Mr. Patrice  Caine
Unity Software Inc.,$26.56 B,U,United States,Technology,Software—Application,"SanFrancisco,CA,UnitedStates", 2004," 5,245", Mr. John S. Riccitiello
Kansas City Southern,$26.59 B,KSU,United States,Industrials,Railroads,"KansasCity,MO,UnitedStates", 1887," 6,522", Mr. Patrick J. Ottensmeyer
PG&E Corporation,$26.66 B,PCG,United States,Utilities,Utilities—Regulated Electric,"SanFrancisco,CA,UnitedStates", 1905," 26,000", Ms. Patricia Kessler Poppe
"Cheniere Energy Partners, L.P.",$26.68 B,CQP,United States,Energy,Oil & Gas Midstream,"Houston,TX,UnitedStates",,, Mr. Jack A. Fusco
Sandvik AB,$26.71 B,SAND,Sweden,Industrials,Specialty Industrial Machinery,"Stockholm,Sweden",," 44,133", Mr. Stefan  Widing
Vonovia SE,$26.78 B,VNA,Germany,Real Estate,Real Estate Services,"Bochum,Germany",," 16,051", Mr. Rolf Eberhard Buch
Beijing Wantai Biological Pharmacy Enterprise Co. Ltd,$26.80 B,603392,China,Healthcare,Biotechnology,"Beijing,China",," 3,103",
Evolution Gaming Group AB,$26.82 B,EVO,Sweden,Consumer Discretionary,Gambling,"Stockholm,Sweden",," 8,987",
Bridgestone Corp,$26.88 B,5108,Japan,Consumer Discretionary,Auto Parts,"Tokyo,Japan",," 138,036", Mr. Shuichi  Ishibashi
"Zimmer Biomet Holdings, Inc.",$26.94 B,ZBH,United States,Healthcare,Medical Devices,"Warsaw,IN,UnitedStates", 1927," 19,500", Mr. Bryan C. Hanson
Aier Eye Hospital Group Co. Ltd,$26.95 B,300015,China,Healthcare,Medical Care Facilities,"Changsha,China",," 22,808",
Shaanxi Coal Industry Company Ltd,$26.95 B,601225,China,Energy,Thermal Coal,"Xi'an,China",," 36,344",
"ANSYS, Inc.",$26.98 B,ANSS,United States,Technology,Software—Application,"Canonsburg,PA,UnitedStates"," Canonsburg, Pennsylvania, United States 1970"," 5,100", Dr. Ajei S. Gopal Ph.D.
Chocoladefabriken Lindt & Sprüngli AG,$27.08 B,LISN,Switzerland,Consumer Staples,Confectioners,"Kilchberg,Switzerland",," 14,000", Dr. Dieter  Weisskopf Ph.D.
Tractor Supply Company,$27.09 B,TSCO,United States,Consumer Discretionary,Specialty Retail,"Brentwood,TN,UnitedStates", 1938," 22,000", Mr. Harry A. Lawton III
Fubon Financial Holding Co. Ltd,$27.13 B,2881,Taiwan,Financials,Insurance—Life,"Taipei,Taiwan",," 44,461",
Gazprom Neft PJSC,$27.14 B,SIBN,Russia,Energy,Oil & Gas Integrated,"SaintPetersburg,Russia",,, Mr. Alexander Valerievich Dyukov
"Interactive Brokers Group, Inc.",$27.22 B,IBKR,United States,Financials,Capital Markets,"Greenwich,CT,UnitedStates"," New York City, United States 1978"," 2,571", Mr. Milan  Galik
Will Semiconductor Co. Ltd,$27.24 B,603501,China,Technology,Semiconductors,"Shanghai,China",," 3,291",
Ganfeng Lithium Co. Ltd,$27.25 B,002460,China,Basic Materials,Chemicals,"Xinyu,China",," 5,533", Mr. Liangbin  Li
NTT Data Corp,$27.26 B,9613,Japan,Technology,Information Technology Services,"Tokyo,Japan",," 139,677", Mr. Hiroshi  Honma
"McCormick & Company, Incorporated",$27.29 B,MKC,United States,Consumer Staples,Packaged Foods,"HuntValley,MD,UnitedStates", 1889," 14,000", Mr. Lawrence E. Kurzius
KONE Oyj,$27.29 B,KNEBV,Finland,Industrials,Specialty Industrial Machinery,"Espoo,Finland",," 62,720", Mr. Henrik  Ehrnrooth M.Sc. (Econ)
NARI Technology Co. Ltd,$27.33 B,600406,China,Industrials,Specialty Industrial Machinery,"Nanjing,China",," 8,806",
"W.W. Grainger, Inc.",$27.33 B,GWW,United States,Industrials,Industrial Distribution,"LakeForest,IL,UnitedStates", 1927," 22,700", Mr. Donald G. Macpherson
"D.R. Horton, Inc.",$27.34 B,DHI,United States,Consumer Discretionary,Residential Construction,"Arlington,TX,UnitedStates", 1978," 11,788", Mr. David V. Auld
Sartorius AG,$27.35 B,SRT,Germany,Healthcare,Medical Instruments & Supplies,"Gottingen,Germany",," 13,832", Dr. Joachim  Kreuzburg
Extra Space Storage Inc.,$27.37 B,EXR,United States,Real Estate,REIT—Industrial,"SaltLakeCity,UT,UnitedStates", 1977," 4,309", Mr. Joseph Daniel Margolis J.D.
Sampo Oyj,$27.46 B,SAMPO,Finland,Financials,Insurance—Diversified,"Helsinki,Finland",," 13,340", Mr. Torbjorn  Magnusson
"CaixaBank, SA",$27.58 B,CABK,Spain,Financials,Banks,"Valencia,Spain",," 49,607", Mr. Gonzalo Maria  Gortazar Rotaeche
ON Semiconductor Corporation,$27.63 B,ON,United States,Technology,Semiconductors,"Phoenix,AZ,UnitedStates", 1999," 30,000", Mr. Hassane S. El-Khoury
Wolters Kluwer N.V.,$27.65 B,WKL,Netherlands,Communication Services,Publishing,"AlphenaandenRijn,Netherlands",," 19,454", Ms. Nancy  McKinstry
Edison International,$27.67 B,EIX,United States,Utilities,Utilities—Regulated Electric,"Rosemead,CA,UnitedStates", 1886," 13,003", Mr. Pedro J. Pizarro
Swiss Re AG,$27.80 B,SREN,Switzerland,Financials,Insurance—Reinsurance,"Zurich,Switzerland",," 13,985",
Thai Beverage Public Company Ltd,$27.81 B,Y92,Thailand,Consumer Staples,Beverages—Wineries & Distilleries,"Bangkok,Thailand",,, Mr. Thapana  Sirivadhanabhakdi
Great-West Lifeco Inc.,$27.85 B,GWO,Canada,Financials,Insurance—Life,"Winnipeg,MB,Canada", 1891," 28,000", Mr. Paul Anthony Mahon
