,id,name,official_name,headquarters_country,headquarters_continent,founded,employees,ceo,market_cap,categories,gbp
301,b4c3b42967604136977affe6b5c8ce6a,"paychex, inc.",,rochester,ny,1971,"15,000",mr. martin  mucci,doll_49.23 b,"['unitedstates', 'industrials', 'staffing&employmentservices', 'unitedstatesindustrials', 'unitedstatesstaffing&employmentservices']",0
302,4ff84926d16d40fe8266dd2c2098f284,centene corporation,,st.louis,mo,1984,"72,500",ms. sarah m. london,doll_49.32 b,"['unitedstates', 'healthcare', 'healthcareplans', 'unitedstateshealthcare', 'unitedstateshealthcareplans']",0
303,28d40cebfabe4b8fa1f980bf9eb0e7ae,the kraft heinz company,,pittsburgh,pa,0,"36,000",mr. miguel  patricio,doll_49.42 b,"['unitedstates', 'consumerstaples', 'packagedfoods', 'unitedstatesconsumerstaples', 'unitedstatespackagedfoods']",0
304,e3d6bb97b59d44119304b4b5faa914c3,"roper technologies, inc.",,sarasota,fl,1890,"19,300",mr. laurence neil hunn,doll_49.66 b,"['unitedstates', 'industrials', 'specialtyindustrialmachinery', 'unitedstatesindustrials', 'unitedstatesspecialtyindustrialmachinery']",0
305,4a88b34ac0d14c5e95a664ff90132fd3,"mercadolibre, inc.",,buenosaires,argentina,0,"29,957",mr. marcos  eduardo galperã­n,ardoll_5.541 t,"['argentina', 'consumerdiscretionary', 'internetretail', 'argentinaconsumerdiscretionary', 'argentinainternetretail']",doll_49.83 b
306,ed488ec4a6d049bea510be0e3c33841e,"illumina, inc.",,sandiego,ca,1998,"9,800",mr. francis a. desouza,doll_49.91 b,"['unitedstates', 'healthcare', 'diagnostics&research', 'unitedstateshealthcare', 'unitedstatesdiagnostics&research']",0
307,4e08ddd272c34b3e9563e985bfadec8b,safran sa,,paris,france,0,"77,008",mr. olivier  andries,doll_€45.27 b,"['france', 'industrials', 'aerospace&defense', 'franceindustrials', 'franceaerospace&defense']",doll_50.02 b
308,449c91689bdb45b6b7ff3b9d60e6bc27,"synopsys, inc.",,mountainview,ca,1986,"16,361",dr. aart j. de geus,doll_50.18 b,"['unitedstates', 'technology', 'software—infrastructure', 'unitedstatestechnology', 'unitedstatessoftware—infrastructure']",0
309,922742854f5d4087963e4beba5f040ac,novatek pjsc,,tarko-sale,russia,0,,mr. leonid viktorovich mikhelson,doll_₽4.304 t,"['russia', 'energy', 'oil&gase&p', 'russiaenergy', 'russiaoil&gase&p']",doll_50.19 b
310,6b066b6b79a347d6b7b6716ebaf4ef82,ecolab inc.,,saintpaul,mn,1923,"47,000",mr. christophe  beck,doll_50.29 b,"['unitedstates', 'basicmaterials', 'specialtychemicals', 'unitedstatesbasicmaterials', 'unitedstatesspecialtychemicals']",0
