,name,mastercap,country,industry,sector
282,uk commercial property reit limited,doll_1.52 b,united kingdom,asset management,financials
283,bbgi global infrastructure sa,doll_1.52 b,united kingdom,asset management,financials
284,jupiter fund management plc,doll_1.50 b,united kingdom,asset management,financials
285,octopus titan vct plc,0,united kingdom,asset management,financials
286,jtc plc,doll_1.49 b,united kingdom,asset management,financials
287,aston martin lagonda global holdings plc,doll_1.49 b,united kingdom,auto manufacturers,consumer discretionary
288,coats group plc,doll_1.46 b,united kingdom,textile manufacturing,consumer discretionary
289,john wood group plc,doll_1.45 b,united kingdom,oil & gas integrated,energy
290,cairn energy plc,doll_1.45 b,united kingdom,oil & gas e&p,energy
291,clarkson plc,doll_1.44 b,united kingdom,marine shipping,industrials
292,edinburgh investment trust plc,doll_1.43 b,united kingdom,asset management,financials
293,serica energy plc,doll_1.43 b,united kingdom,oil & gas e&p,energy
294,morgan sindall group plc,doll_1.43 b,united kingdom,engineering & construction,industrials
295,avi global trust plc,doll_1.42 b,united kingdom,asset management,financials
296,syncona limited,doll_1.42 b,united kingdom,asset management,financials
297,euromoney institutional investor plc,doll_1.41 b,united kingdom,financial data & stock exchanges,financials
298,redde northgate plc,doll_1.40 b,united kingdom,rental & leasing services,industrials
299,ferroglobe plc,doll_1.38 b,united kingdom,other industrial metals & mining,basic materials
300,victoria plc,doll_1.37 b,united kingdom,"furnishings, fixtures & appliances",consumer discretionary
301,murray income trust plc,doll_1.36 b,united kingdom,asset management,financials
302,moneysupermarket.com group plc,doll_1.36 b,united kingdom,internet content & information,communication services
303,centamin plc,doll_1.36 b,united kingdom,gold,basic materials
304,vectura group plc,0,united kingdom,drug manufacturersgeneral,healthcare
305,gb group plc,doll_1.35 b,united kingdom,softwareapplication,technology
306,supermarket income reit plc,doll_1.35 b,united kingdom,reitretail,real estate
307,currys plc,doll_1.34 b,united kingdom,specialty retail,consumer discretionary
308,immunocore holdings plc,doll_1.34 b,united kingdom,biotechnology,healthcare
309,apax global alpha limited,doll_1.33 b,united kingdom,asset management,financials
310,premier foods plc,doll_1.33 b,united kingdom,packaged foods,consumer staples
311,thg plc,doll_1.33 b,united kingdom,specialty retail,consumer discretionary
312,hilton food group plc,doll_1.32 b,united kingdom,packaged foods,consumer staples
313,jd wetherspoon plc,doll_1.31 b,united kingdom,restaurants,consumer discretionary
314,biffa plc,doll_1.29 b,united kingdom,waste management,industrials
315,gcp student living plc,0,united kingdom,asset management,financials
316,gcp infrastructure investments,doll_1.29 b,united kingdom,asset management,financials
317,ti fluid systems plc,doll_1.28 b,united kingdom,auto parts,consumer discretionary
318,"merian chrysalis investment co., ltd.",doll_1.28 b,united kingdom,asset management,financials
319,spire healthcare group plc,doll_1.27 b,united kingdom,medical care facilities,healthcare
320,essentra plc,doll_1.26 b,united kingdom,specialty chemicals,basic materials
321,law debenture corporation plc,doll_1.26 b,united kingdom,asset management,financials
322,clipper logistics plc,doll_1.24 b,united kingdom,integrated freight & logistics,industrials
323,ip group plc,doll_1.24 b,united kingdom,asset management,financials
324,vesuvius plc,doll_1.22 b,united kingdom,steel,basic materials
325,st. modwen properties plc,0,united kingdom,real estatedevelopment,real estate
326,stolt-nielsen ltd,doll_1.22 b,united kingdom,marine shipping,industrials
327,european opportunities trust plc,0,united kingdom,asset management,financials
328,lxi reit,doll_1.21 b,united kingdom,reitdiversified,real estate
329,bmo commercial property trust,doll_1.21 b,united kingdom,asset management,financials
330,bb healthcare trust plc,doll_1.19 b,united kingdom,asset management,financials
331,just group plc,doll_1.18 b,united kingdom,insurancespecialty,financials
332,schroder asiapacific fund plc,doll_1.18 b,united kingdom,asset management,financials
333,sumo group plc,0,united kingdom,electronic gaming & multimedia,communication services
334,myovant sciences ltd.,doll_1.18 b,united kingdom,biotechnology,healthcare
335,morgan advanced materials plc,doll_1.18 b,united kingdom,specialty industrial machinery,industrials
336,smart metering systems plc,doll_1.17 b,united kingdom,electrical equipment & parts,industrials
337,edinburgh worldwide investment trust plc,doll_1.16 b,united kingdom,asset management,financials
338,emis group plc,doll_1.16 b,united kingdom,health information services,healthcare
339,vinacapital vietnam opportunity fund limited,doll_1.14 b,united kingdom,asset management,financials
340,kape technologies plc,doll_1.14 b,united kingdom,softwareinfrastructure,technology
341,jpmorgan euro small co. trust plc,0,united kingdom,asset management,financials
342,alpha fx group plc,doll_1.13 b,united kingdom,capital markets,financials
343,chemring group plc,doll_1.13 b,united kingdom,aerospace & defense,industrials
344,cls holdings plc,doll_1.11 b,united kingdom,real estate services,real estate
345,volution group plc,doll_1.09 b,united kingdom,building products & equipment,industrials
346,scottish american investment company plc,doll_1.09 b,united kingdom,asset management,financials
