,name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
564,zebra technologies corporation,doll_21.87 b,zbra,united states,technology,communication equipment,"lincolnshire,il,unitedstates", 1969," 9,800", mr. anders  gustafsson
565,"monolithic power systems, inc.",doll_21.87 b,mpwr,united states,technology,semiconductors,"kirkland,wa,unitedstates", 1997," 2,773", mr. michael r. hsing
566,restaurant brands international limited partnership,doll_21.89 b,qsp.un,canada,consumer discretionary,restaurants,"toronto,on,canada",," 5,700",
567,duke realty corporation,doll_21.93 b,dre,united states,real estate,reit—industrial,"indianapolis,in,unitedstates", 1972, 340, mr. james b. connor
568,huntington bancshares incorporated,doll_21.93 b,hban,united states,financials,banks,"columbus,oh,unitedstates", 1866," 18,442", mr. stephen d. steinour
569,cnh industrial n.v.,doll_21.93 b,cnhi,united kingdom,industrials,farm & heavy construction machinery,"london,unitedkingdom", 2012," 71,895", mr. scott wellington wine
570,nibe industrier ab,doll_21.93 b,njb,sweden,industrials,building products & equipment,"markaryd,sweden",," 20,400", mr. gerteric  lindquist
571,"cf industries holdings, inc.",doll_21.95 b,cf,united states,basic materials,agricultural inputs,"deerfield,il,unitedstates", 1946 ," 2,970", mr. w. anthony will
572,cincinnati financial corporation,doll_21.99 b,cinf,united states,financials,insurance—property & casualty,"fairfield,oh,unitedstates"," cincinnati, ohio, u.s 1950"," 5,166"," mr. steven justus johnston c.f.a., cera, cfa, fcas, maaa"
573,toyota industries corp,doll_21.99 b,6201,japan,consumer discretionary,auto manufacturers,"kariya,japan",," 66,947",
574,geberit ag,doll_22.03 b,gebn,switzerland,industrials,building products & equipment,"rapperswil-jona,switzerland",," 11,149", dr. christian  buhl
575,zto express (cayman) inc.,doll_22.05 b,zto,china,industrials,integrated freight & logistics,"shanghai,china",," 22,536", mr. meisong  lai
576,unicharm corp,doll_22.08 b,8113,japan,consumer staples,household & personal products,"tokyo,japan",," 16,665", mr. takahisa  takahara
577,xp inc.,doll_22.16 b,xpbr31,brazil,financials,capital markets,"sã£opaulo,sp,brazil", may 2001," 3,000", mr. thiago  maffra
578,"skyworks solutions, inc.",doll_22.17 b,swks,united states,technology,semiconductors,"irvine,ca,unitedstates", 2002," 11,000", mr. liam k. griffin
579,crrc corp ltd,doll_22.21 b,601766,china,industrials,railroads,"beijing,china",," 164,177",
580,"continental resources, inc.",doll_22.25 b,clr,united states,energy,oil & gas e&p,"oklahomacity,ok,unitedstates",," 1,254"," mr. william b. berry b.sc., m.sc."
581,"huntington bancshares, inc.",doll_22.26 b,hu3,united states,financials,banks,"columbus,oh,unitedstates",," 18,442", mr. stephen d. steinour
582,"fomento económico mexicano, s.a.b. de c.v.",doll_22.28 b,femsaub,mexico,consumer staples,beverages—brewers,"monterrey,nl,mexico", 1890," 320,808", mr. alfonso  garza garza
583,teleperformance se,doll_22.30 b,tep,france,industrials,consulting services,"paris,france",," 420,000", mr. daniel  julien
584,"bio-rad laboratories, inc.",doll_22.32 b,bio,united states,healthcare,medical devices,"hercules,ca,unitedstates", 1952," 7,900", mr. norman d. schwartz
585,hennes & mauritz ab,doll_22.33 b,hm.b,sweden,consumer discretionary,apparel manufacturing,"stockholm,sweden",," 155,000",
586,banco do brasil sa,doll_22.36 b,bbas3,brazil,financials,banks,"brasilia,df,brazil",," 84,597", mr. fausto  de andrade ribeiro
587,tata motors limited,doll_22.38 b,ttm,india,consumer discretionary,auto manufacturers,"mumbai,india", 1945," 75,278", mr. thierry yves henri  bollore
588,sumitomo corp,doll_22.42 b,8053,japan,industrials,conglomerates,"tokyo,japan",," 74,920", mr. masayuki  hyodo
589,china national nuclear power co. ltd,doll_22.42 b,601985,china,utilities,utilities—independent power producers,"beijing,china",," 14,506",
590,"okta, inc.",doll_22.45 b,okta,united states,technology,software—infrastructure,"sanfrancisco,ca,unitedstates", january 2009," 5,030", mr. todd  mckinnon
591,ems-chemie holding ag,doll_22.48 b,emsn,switzerland,basic materials,specialty chemicals,"domat/ems,switzerland",," 2,646", ms. magdalena  martullo-blocher
592,"essex property trust, inc.",doll_22.51 b,ess,united states,real estate,reit—residential,"sanmateo,ca,unitedstates", 1971," 1,739", mr. michael j. schall cpa
593,coca-cola europacific partners plc,doll_22.53 b,ccep,united kingdom,consumer staples,beverages—non-alcoholic,"uxbridge,unitedkingdom",," 22,000", mr. damian paul gammell
594,the hong kong and china gas company ltd,doll_22.54 b,0003,hong kong,utilities,utilities—regulated gas,"northpoint,hongkong",," 55,302",
595,komatsu ltd,doll_22.56 b,6301,japan,industrials,farm & heavy construction machinery,"tokyo,japan",," 61,564", mr. hiroyuki  ogawa
596,grupo financiero banorte sab de cv,doll_22.60 b,gfnorteo,mexico,financials,banks,"santafe,df,mexico",,, mr. jose marcos  ramirez miguel
597,picc property and casualty company ltd,doll_22.62 b,2328,china,financials,insurance—property & casualty,"beijing,china",," 171,508",
598,kellogg company,doll_22.63 b,k,united states,consumer staples,packaged foods,"battlecreek,mi,unitedstates"," february 19, 1906"," 31,000", mr. steven a. cahillane
599,hewlett packard enterprise company,doll_22.65 b,hpe,united states,technology,communication equipment,"houston,tx,unitedstates"," november 1, 2015"," 60,400", mr. antonio fabio neri
600,shanghai international port,doll_22.65 b,600018,china,industrials,marine shipping,"shanghai,china",," 14,068", mr. jun  yan
601,ucb sa,doll_22.71 b,ucb,belgium,healthcare,biotechnology,"brussels,belgium",," 8,600", mr. jean-christophe  tellier
602,panasonic corp,doll_22.73 b,6752,japan,technology,consumer electronics,"kadoma,japan",," 240,786", mr. yuki  kusumi
603,eurofins scientific se,doll_22.75 b,erf,luxembourg,                                        healthcare                                    ,                                        diagnostics & research                                    ,"luxembourgcity,luxembourg",," 57,992", dr. gilles g. martin ph.d.
