07-silvestri-market_value_jan_2020,03-gren-market_capitalization_2022,07-silvestri-revenue_2022,07-silvestri-market_value_jan_2022,04-iGMM-market_value__jan_1st_2020,04-iGMM-market_value__jan_07_2022,08-slytherin-revenue,02-GioPonSpiz-marketvalue,02-GioPonSpiz-marketcap,07-silvestri-market_value_jan_2021
doll_24.83 m,doll_135.37 b,doll_13.249 m,doll_45.43 m,doll_1.31 b,doll_1.35 b,doll_80.118 m,doll_1.35 b,doll_1.28 b,doll_33.64 m
0,doll_135.07 b,doll_14.136 m,doll_44.96 m,doll_1.03 b,doll_1.35 b,doll_57.793 m,doll_1.35 b,doll_1.32 b,doll_34.43 m
doll_42.93 m,doll_134.25 b,doll_76.540 m,doll_43.18 m,doll_1.11 b,doll_1.34 b,doll_23.063 m,doll_1.34 b,doll_1.47 b,doll_41.42 m
doll_51.93 m,doll_134.0 b,doll_53.685 m,doll_43.01 m,doll_57.11 m,doll_1.34 b,doll_64.388 m,doll_1.34 b,doll_1.22 b,doll_44.23 m
doll_26.47 m,doll_132.94 b,doll_10.654 m,doll_42.83 m,doll_1.61 b,doll_1.33 b,doll_19.374 m,doll_1.33 b,doll_1.09 b,doll_59.66 m
doll_30.29 m,doll_132.6 b,doll_6.288 m,doll_42.82 m,doll_1.02 b,doll_1.33 b,doll_64.989 m,doll_1.33 b,doll_1.39 b,doll_34.83 m
doll_29.36 m,doll_132.39 b,doll_3.622 m,doll_41.88 m,doll_70.61 m,doll_1.32 b,doll_9.635 m,doll_1.32 b,doll_1.21 b,doll_41.17 m
doll_38.37 m,doll_130.53 b,0 million usd,doll_41.59 m,doll_1.78 b,doll_1.31 b,doll_25.979 m,doll_1.31 b,doll_1.46 b,doll_33.03 m
doll_40.78 m,doll_130.51 b,doll_23.442 m,doll_41.11 m,doll_1.73 b,doll_1.31 b,doll_71.887 m,doll_1.31 b,doll_1.28 b,doll_33.25 m
doll_32.17 m,doll_128.03 b,doll_30.981 m,doll_41.04 m,doll_1.44 b,doll_1.28 b,doll_43.171 m,doll_1.28 b,doll_1.28 b,doll_32.39 m
doll_53.72 m,0.0,doll_26.758 m,doll_40.8 m,0,0,doll_133.260 m,0,0,doll_42.54 m
doll_21.6 m,doll_127.76 b,doll_4.784 m,doll_40.65 m,doll_74.72 m,doll_1.28 b,not found,doll_1.28 b,doll_1.23 b,doll_33.33 m
doll_24.32 m,doll_126.65 b,doll_2.688 m,doll_40.54 m,doll_1.87 b,doll_1.27 b,doll_29.060 m,doll_1.27 b,doll_1.29 b,doll_31.21 m
doll_27.56 m,doll_126.37 b,doll_8.291 m,doll_39.77 m,doll_1.27 b,doll_1.26 b,doll_17.737 m,doll_1.26 b,doll_1.31 b,doll_32.95 m
doll_27.03 m,doll_126.2 b,doll_16.693 m,doll_39.11 m,doll_1.07 b,doll_1.26 b,doll_62.286 m,doll_1.26 b,doll_1.39 b,doll_55.32 m
doll_20.9 m,doll_125.77 b,doll_20.012 m,doll_38.88 m,doll_99.26 m,doll_1.26 b,doll_16.562 m,doll_1.26 b,doll_1.32 b,doll_25.02 m
doll_15.44 m,doll_125.62 b,doll_3.180 m,doll_38.53 m,doll_1.32 b,doll_1.26 b,doll_18.200 m,doll_1.26 b,doll_1.48 b,doll_28.67 m
doll_22.56 m,doll_123.29 b,doll_48.664 m,doll_38.48 m,doll_1.04 b,doll_1.23 b,doll_47.525 m,doll_1.23 b,doll_1.12 b,doll_24.2 m
