00-avengers-ceo,02-GioPonSpiz-ceo,03-gren-ceo,04-iGMM-ceo,07-silvestri-ceo,08-slytherin-ceo,00-avengers-headquarters_sub_region
carlos tavares,dhanabalan,piyush gupta,piyush gupta,robert swaak,yang jiping,western europe
leonard schleifer,,,,mike fries,robert m. blue,northern america
robert m. blue,yang jiping,yang jiping,yang jiping,peter cowgill,leonard schleifer,northern america
yang jiping,robert m. blue,robert m. blue,robert m. blue,evgenii nikitin,jack dorsey,eastern asia
,leonard schleifer,leonard schleifer,leonard schleifer,sasndor csanyi,noriyuki inoue,northern america
piyush gupta,john elkann,carlos tavares,carlos tavares,philipp rickenbacher,peter b. lewis,south east asia
jack dorsey,peter b. lewis,tricia griffith,tricia griffith,,not found,northern america
masanori togawa,,,,pedro manuel de castro soares dos santos,john elkann,eastern asia
gregory c. case,ming-kai tsai,rick tsai,rick tsai,anthony smurfit,chano fernandez,northern america
sashidhar jagdishan,kenneth levy,richard p. wallace,richard p. wallace,iwona duda,not found,southern asia
joseph d. russell jr,kathy warden,kathy warden,kathy warden,warren east,deepak parekh,northern america
,john elkann,benedetto vigna,benedetto vigna,didier michaud-daniel,kathy warden,eastern asia
chano fernandez,eduardo solorzano morales,guilherme loureiro,guilherme loureiro,bertrand camus,kenneth levy,northern america
guilherme loureiro,chano fernandez,chano fernandez,chano fernandez,,eduardo solorzano morales,central america
benedetto vigna,,,,arnaud de puyfontaine,john elkann,south europe
kathy warden,joseph d. russell jr,joseph d. russell jr,joseph d. russell jr,rob smith,ming-kai tsai,northern america
richard p. wallace,,sashidhar jagdishan,sashidhar jagdishan,simon wolfson,dennis l mahoney,northern america
rick tsai,dennis l mahoney,gregory c. case,gregory c. case,dominik von achten,joseph d. russell jr,south east asia
olayan m. alwetaid,,laxman narasimhan,laxman narasimhan,christian kohlpaintner,sanjiv bajaj,western asia
michael f. mahoney,,sanjiv bajaj,sanjiv bajaj,martin bouygues,christopher a. sinclair,northern america
alexandre ricard,james r moffett,richard adkerson,richard adkerson,henri poupart-lafarge,jose antonio alvarez,western europe
xavier huillard,,jose antonio alvarez,jose antonio alvarez,bracken p. darrell,xavier huillard,western europe
martin lundstedt,brian armstrong,brian armstrong,brian armstrong,michael allison,ann mukherjee,northern europe
brian armstrong,carl-henric svanberg,martin lundstedt,martin lundstedt,andy ransom,michael f. mahoney,northern america
jose antonio alvarez,,xavier huillard,xavier huillard,helena stjernholm,carl-henric svanberg,south europe
richard adkerson,,alexandre ricard,alexandre ricard,augustin de romanet,brian armstrong,northern america
sanjiv bajaj,michael f. mahoney,michael f. mahoney,michael f. mahoney,fredrik lundberg,james r moffett,southern asia
laxman narasimhan,olayan m. alwetaid,olayan m. alwetaid,olayan m. alwetaid,denis machuel,michael f. mahoney,northern europe
duncan wanblad,,duncan wanblad,duncan wanblad,paolo rocca,lei jun,northern europe
lei jun,,reinhard ploss,reinhard ploss,jette nygaard-andersen,shri dinesh kumar khara,eastern asia
erik engstrom,,vagit alekperov,vagit alekperov,axel wachtmeister,stuart chambers,northern europe
vinay m tonse,ken miyauchi,masayoshi son,masayoshi son,,nicholas chabraja,southern asia
"['kurt sievers', 'richard l. clemmer']",nicholas chabraja,phebe novakovic,phebe novakovic,,ken miyauchi,western europe
peter kenneth allen,,peter kenneth allen,peter kenneth allen,,brian schwartz,"australia, new zealand"
phebe novakovic,kurt sievers,kurt sievers richard l. clemmer,kurt sievers,,kurt sievers,northern america
masayoshi son,,vinay m tonse,vinay m tonse,,reinhard ploss,eastern asia
vagit alekperov,,erik engstrom,erik engstrom,,paul walker,eastern europe
reinhard ploss,lei jun,lei jun,lei jun,,ravil ulfatovich maganov,western europe
shemara wikramanayake,,shemara wikramanayake,shemara wikramanayake,,c. robert henrikson,"australia, new zealand"
michel a. khalaf,john w. thompson,francis desouza,francis desouza,,mr. ke ruiwen,northern america
lal karsanbhai,stacy j. smith,andrew anagnost,andrew anagnost,,albert m. baehny,northern america
peter king,albert m. baehny,pierre-alain ruffieux,pierre-alain ruffieux,,stacy j. smith,"australia, new zealand"
jie yang,,shayne elliott,shayne elliott,,ezra yacob,eastern asia
ezra yacob,ezra yacob,ezra yacob,ezra yacob,,peter warne,northern america
shayne elliott,mr. ke ruiwen,jie yang,jie yang,,lal karsanbhai,"australia, new zealand"
pierre-alain ruffieux,,peter king,peter king,,john mcfarlane,western europe
andrew anagnost,lal karsanbhai,lal karsanbhai,lal karsanbhai,,paul o'sullivan,northern america
francis desouza,c. robert henrikson,michel a. khalaf,michel a. khalaf,,john w. thompson,northern america
michael strugl,reshma kewalramani,reshma kewalramani,reshma kewalramani,,not found,western europe
tim s mckay,,,,,michael behrendt,northern america
,,steven van rijswijk,steven van rijswijk,,khoon hong kuok,eastern asia
george oliver,toshiaki higashihara,toshiaki higashihara,toshiaki higashihara,,hans wijers,northern america
victor g. dodig,,rolf habben jansen,rolf habben jansen,,toshiaki higashihara,northern america
rolf habben jansen,katharine stevenson ,victor g. dodig,victor g. dodig,,reshma kewalramani,western europe
toshiaki higashihara,george r. oliver,george oliver,george oliver,,n. murray edwards,eastern asia
steven van rijswijk,,,,,george r. oliver,western europe
,n. murray edwards,tim s mckay,tim s mckay,,katharine stevenson ,eastern asia
reshma kewalramani,martin ohneberg,michael strugl,michael strugl,,martin ohneberg,northern america
stelleo passos tolda,paul j. halg,paul schuler,paul schuler,,not found,south america
,frank m. clark,christopher m. crane,christopher m. crane,,paul j. halg,eastern asia
kasper rorsted,,,,,h.h shk tahnoon bin zayed al nahyan,western europe
steve hasker,david perdue,todd j vasos,todd j vasos,,david thomson,northern america
stefan bird,hana al rostamani,hana al rostamani,hana al rostamani,,thomas rabe,northern america
hana al rostamani,stefan bird,stefan bird,stefan bird,,not found,western asia
todd j vasos,david thomson,steve hasker,steve hasker,,stelleo passos tolda,northern america
,,kasper rorsted,kasper rorsted,,frank m. clark,eastern europe
christopher m. crane,,,,,stefan bird,northern america
paul schuler ,stelleo passos tolda,stelleo passos tolda,stelleo passos tolda,,david perdue,western europe
shuntaro furukawa,shuntaro furukawa,shuntaro furukawa,shuntaro furukawa,,gian maria gros-pietro,eastern asia
david schwimmer,,werner baumann,werner baumann,,rishad premji,northern europe
tadashi yanai,,olivier andries,olivier andries,,liu miao,eastern asia
,liu miao,,,,pankaj patel,eastern asia
carlo messina,bill marriott,anthony capuano,anthony capuano,,wei jianjun,south europe
thierry delaporte,,thierry delaporte,thierry delaporte,,ross mcinnes,southern asia
anthony capuano,gian maria gros-pietro,carlo messina,carlo messina,,shuntaro furukawa,northern america
,wei jianjun,,,,tadashi yanai,eastern asia
olivier andries,tadashi yanai,tadashi yanai,tadashi yanai,,david schwimmer,western europe
werner baumann,,david schwimmer,david schwimmer,,bill marriott,western europe
yang-wei liu,liu young-way,yang-wei liu,yang-wei liu,,robin li,south east asia
john pettigrew,robin li,robin li,robin li,,"ma mingzhe, peter",northern europe
xie yonglin,christoph franz,tatsuro kosaka,tatsuro kosaka,,liu young-way,eastern asia
jens bjorn andersen,david simon,david simon,david simon,,christoph franz,northern europe
,robert gamgort,robert gamgort,robert gamgort,,not found,northern america
,,,,,anders dahlvig,eastern asia
robert gamgort,anders dahlvig,,,,john pettigrew,northern america
david simon,thomas plenborg,jens bjorn andersen,jens bjorn andersen,,thomas plenborg,northern america
tatsuro kosaka,"ma mingzhe, peter",xie yonglin,xie yonglin,,robert gamgort,eastern asia
robin li,,john pettigrew,john pettigrew,,david simon,eastern asia
abdulla mubarak al-khalifa,nikesh arora,nikesh arora,nikesh arora,,sunil bharti mittal,western asia
hiroshi suzuki,tom lynch,terrence curtin,terrence curtin,,ugur sahin,eastern asia
,lucia calvosa,claudio descalzi,claudio descalzi,,nikesh arora,western europe
ken xie,lai chun wang,,,,lai chun wang,northern america
thomas p gibbons,,gopal vittal,gopal vittal,,he ali ahmed al kuwari,northern america
gopal vittal,gerald l. hassell,thomas p gibbons,thomas p gibbons,,lucia calvosa,southern asia
,ken xie,ken xie,ken xie,,tom lynch,eastern asia
claudio descalzi,ugur sahin,,,,hiroshi suzuki,south europe
terrence curtin,hiroshi suzuki,hiroshi suzuki,hiroshi suzuki,,ken xie,western europe
nikesh arora,he ali ahmed al kuwari,abdulla mubarak al-khalifa,abdulla mubarak al-khalifa,,gerald l. hassell,northern america
rangarajan raghuram,eric yuan,eric yuan,eric yuan,,sun piaoyang,northern america
,william c. montgomery,a. james teague,a. james teague,,liao zengtai,eastern asia
chi-foon chan,ren deqi,deqi ren,deqi ren,,tsuneo murata,northern america
tsuneo murata,sun piaoyang,,,,fumihiko ike,eastern asia
toshihiro mibe,,charlie nunn,charlie nunn,,ren deqi,eastern asia
charlie nunn,fumihiko ike,toshihiro mibe,toshihiro mibe,,william c. montgomery,northern europe
,tsuneo murata,tsuneo murata,tsuneo murata,,eric yuan,eastern asia
deqi ren,aart j. de geus,chi-foon chan,chi-foon chan,,robin budenberg,eastern asia
a. james teague,liao zengtai,,,,michael dell,northern america
eric yuan,michael dell,rangarajan raghuram,rangarajan raghuram,,aart j. de geus,northern america
toshio kagami,toshio kagami,toshio kagami,toshio kagami,,lance uggla,eastern asia
"['frank vang-jensen', 'casper von koskull']",,uday kotak,uday kotak,,jassim mustafa boodai,northern europe
oscar gonzalez rocha,brian duperreault,peter zaffino,peter zaffino,,prakash apte,central america
,lance uggla,lance uggla,lance uggla,,toshio kagami,western asia
hilton schlosberg,ge li,,,,rodney cyril sacks,northern america
bobby kotick,bobby kotick,bobby kotick,bobby kotick,,german larrea mota-velasco,northern america
,rodney cyril sacks,hilton schlosberg,hilton schlosberg,,torbjorn magnusson,eastern asia
lance uggla,,,,,ge li,northern europe
peter zaffino,german larrea mota-velasco,oscar gonzalez rocha,oscar gonzalez rocha,,brian duperreault,northern america
uday kotak,torbjorn magnusson,frank vang-jensen casper von koskull,frank vang-jensen,,bobby kotick,southern asia
scott d. sheffield,,charles f. lowrey,charles f. lowrey,,wang dongjin,northern america
neil hunn,takeshi kunibe,makoto takashima,makoto takashima,,scott d. sheffield,northern america
,wang dongjin,yang hua,yang hua,,takeshi kunibe,eastern asia
david baszucki,andrew gould,olivier le peuch,olivier le peuch,,zhu hexin,northern america
ari bousbib,martin h. loeffler,richard adam norwitt,richard adam norwitt,,arthur f. ryan,northern america
richard adam norwitt,ari bousbib,ari bousbib,ari bousbib,,david b. baszucki,northern america
olivier le peuch,david b. baszucki,david baszucki,david baszucki,,neil hunn,northern america
yang hua,zhu hexin,,,,ari bousbib,eastern asia
makoto takashima,neil hunn,neil hunn,neil hunn,,andrew gould,eastern asia
charles f. lowrey,scott d. sheffield,scott d. sheffield,scott d. sheffield,,martin h. loeffler,northern europe
michael d. hsu,thomas j. falk,michael d. hsu,michael d. hsu,,michael chaney ao,northern america
tom palmer,conni jonsson,christian sinding,christian sinding,,markus mosa,northern america
mirko bibic,dennis segers,victor peng,victor peng,,conni jonsson,northern america
c. s. venkatakrishnan,takehiko kakiuchi,takehiko kakiuchi,takehiko kakiuchi,,francois poirier,northern europe
rob scott,francois poirier,francois poirier,francois poirier,,dennis segers,"australia, new zealand"
,markus mosa,,,,takehiko kakiuchi,western europe
francois poirier,,rob scott,rob scott,,nigel higgins,northern america
takehiko kakiuchi,,c. s. venkatakrishnan,c. s. venkatakrishnan,,mirko bibic,eastern asia
victor peng,mirko bibic,mirko bibic,mirko bibic,,thomas j. falk,northern america
christian sinding,wayne w murdy,tom palmer,tom palmer,,wayne w murdy,northern europe
c vijayakumar,,simon a borrows,simon a borrows,,c vijayakumar,southern asia
vladimir potanin,andrey bougrov,vladimir potanin,vladimir potanin,,bin li,eastern europe
simon a borrows,,c vijayakumar,c vijayakumar,,andrey bougrov,northern europe
martin mucci,thomas thune andersen,mads nipper,mads nipper,,sarah hogg,northern america
rosalind brewer,kurt hilzinger,bruce d. broussard,bruce d. broussard,,jonathan w. ayers,northern america
john rim,jonathan w. ayers,jay mazelsky,jay mazelsky,,thomas thune andersen,eastern asia
,bin li,,,,kurt hilzinger,eastern asia
jay mazelsky,john rim,john rim,john rim,,john rim,northern america
bruce d. broussard,stefano pessina,rosalind brewer,rosalind brewer,,martin mucci,northern america
mads nipper,martin mucci,martin mucci,martin mucci,,stefano pessina,northern europe
,qin yinglin,,,,not found,northern america
,,philippe brassac,philippe brassac,,david e oreilly,northern america
,richard sands,bill newlands,bill newlands,,calvin grieder,northern america
amit syngle,calvin grieder,gilles andrier,gilles andrier,,philippe brassac,southern asia
gregory d. johnson,anirudh devgan,anirudh devgan,anirudh devgan,,qin yinglin,northern america
anirudh devgan,david e oreilly,gregory d. johnson,gregory d. johnson,,richard sands,northern america
gilles andrier,,amit syngle,amit syngle,,ashwin dani,western europe
bill newlands,glenn k. murphy(non-executive chairman),,,,anirudh devgan,northern america
philippe brassac,elon musk,,,,elon musk,western europe
,,,,,glenn k. murphy(non-executive chairman),eastern asia
jean-marc chery,rajesh nambiar,brian humphries,brian humphries,,rajesh nambiar,western europe
ganesh moorthy,masahiro okafuji,masahiro okafuji,masahiro okafuji,,steve sanghi,northern america
bom suk kim,kevin p. clark,kevin p. clark,kevin p. clark,,kevin sayer,eastern asia
henry a. fernandez,miguel patricio,miguel patricio,miguel patricio,,henry a. fernandez,northern america
kevin r. sayer,laurence a. chapman,a. william stein,a. william stein,,maurizio tamagnini,northern america
a. william stein,kevin sayer,kevin r. sayer,kevin r. sayer,,miguel patricio,northern america
miguel patricio,henry a. fernandez,henry a. fernandez,henry a. fernandez,,kevin p. clark,northern america
kevin p. clark,bom suk kim,bom suk kim,bom suk kim,,bom suk kim,northern europe
masahiro okafuji,steve sanghi,ganesh moorthy,ganesh moorthy,,masahiro okafuji,eastern asia
brian humphries,,jean-marc chery,jean-marc chery,,laurence a. chapman,northern america
nick akins,tony xu,tony xu,tony xu,,jeff weiner,northern america
tony xu,nick akins,nick akins,nick akins,,andrew forrest,northern america
michael f. neidorff,,elizabeth gaines,elizabeth gaines,,nick akins,northern america
olivier pomel,steve ells,brian niccol,brian niccol,,tony xu,northern america
david gitlin,jeremy weir,,,,olivier pomel,northern america
,,,,,david gitlin,northern america
,jeff weiner,,,,not found,northern europe
,david gitlin,david gitlin,david gitlin,,michael f. neidorff,northern america
brian niccol,olivier pomel,olivier pomel,olivier pomel,,steve ells,northern america
elizabeth gaines,michael f. neidorff,michael f. neidorff,michael f. neidorff,,jeremy weir,"australia, new zealand"
michael j. hennigan,,benjamin william keswick,benjamin william keswick,,raden bei aria wirjaatmadja,northern america
