00-avengers-ceo,02-GioPonSpiz-ceo,03-gren-ceo,04-iGMM-ceo,07-silvestri-ceo,08-slytherin-ceo,00-avengers-headquarters_sub_region
rob fauber,raj subramaniam,raj subramaniam,raj subramaniam,aengus kelly,mikhelson,northern america
leonid viktorovich mikhelson,peter van camp,charles j. meyers,charles j. meyers,valerie baudson,friedrich engelhorn,eastern europe
charles j. meyers,,leonid viktorovich mikhelson,leonid viktorovich mikhelson,jack truong,raj subramaniam,northern america
raj subramaniam,raymond w. mcdaniel,rob fauber,rob fauber,tom erixon,raymond w. mcdaniel,northern america
colin huang zheng,andrew liveris,,,hilde merete aasheim,philip chronican,eastern asia
matthew murphy,,ross mcewan,ross mcewan,morten hubbe,peter van camp,northern america
,,,,gilles grapinet,rick hill,northern europe
ding lei,soren skou,soren skou,soren skou,tim hauwermeiren,soren skou,eastern asia
craig arnold,roberto castello branco,roberto castello branco,roberto castello branco,dr. jan michael mrosik,takashi tanaka,northern europe
,,,,,not found,eastern asia
james c. fish jr,takashi tanaka,takashi tanaka,takashi tanaka,,thomas (tom) h . weidemeyer,northern america
mario greco,baoshen zhong,,,harold boel,tom de swaan,western europe
,tom de swaan,mario greco,mario greco,tim steiner,ding lei,eastern asia
takashi tanaka,thomas (tom) h . weidemeyer,james c. fish jr,james c. fish jr,allison kirkby,zhong shanshan,eastern asia
,,,,roland diggelmann,craig arnold,western europe
roberto castello branco,craig arnold,craig arnold,craig arnold,jerre stead,roberto castello branco,south america
soren skou,ding lei,ding lei,ding lei,stefano antonio donnarumma,baoshen zhong,northern europe
jun seki,koji arima,koji arima,koji arima,carlo bertazzo,carlos slim domit,eastern asia
richard fairbank,colm kelleher,ralph hamers,ralph hamers,andrew williams,yiping tao,northern america
christophe beck,michael lynton,evan spiegel,evan spiegel,andreas nauen,koji arima,northern america
seifi ghasemi,yiping tao,"doyle mitchell, jr.","doyle mitchell, jr.",robert kunze-concewitz,seifi ghasemi,northern america
jahja setiaatmadja,carlos slim domit,daniel hajj aboumrad,daniel hajj aboumrad,christian kullmann,shigenobu nagamori,south east asia
daniel hajj aboumrad,jahja setiaatmadja,jahja setiaatmadja,jahja setiaatmadja,carsten rasch egeriis,colm kelleher,central america
"doyle mitchell, jr.",seifi ghasemi,seifi ghasemi,seifi ghasemi,,"douglas m. baker, jr",eastern asia
evan spiegel,"douglas m. baker, jr",christophe beck,christophe beck,alexandre merieux,jahja setiaatmadja,northern america
ralph hamers,richard fairbank,richard fairbank,richard fairbank,michael zahn,richard fairbank,western europe
koji arima,shigenobu nagamori,jun seki,jun seki,nicholas j. anderson,michael lynton,eastern asia
,noriyuki inoue,masanori togawa,masanori togawa,miuccia prada,not found,eastern asia
tricia griffith,jack dorsey,jack dorsey,jack dorsey,annica bresky,dhanabalan,northern america
