,name,market_cap,country,share_price,change_1_day,change_1_year,categories,company_code,earnings,revenue,shares,employees
963,Rentokil Initial,$16.84 B,UK,$6.68,-0.11%,-17.73%,,,,,,
964,Bolloré,$16.81 B,France,$5.72,0.09%,7.72%,,,,,,
965,Pinterest,$16.86 B,USA,$24.86,-2.81%,-33.85%,['Internet'],,,,,
966,Brown & Brown,$16.85 B,USA,$59.52,1.02%,-9.64%,,,,,,
967,China Southern Airlines,$16.89 B,China,$28.97,1.12%,4.17%,"['Airlines', 'Travel', 'Transportation']",,,,,
968,Chongqing Changan,$16.87 B,China,$1.93,-1.24%,-29.82%,"['Automakers', 'Manufacturing']",,,,,
969,Fmc,$16.92 B,USA,$134.36,3.33%,29.78%,['Chemicals'],,,,,
970,Unity Software,$16.91 B,USA,$40.94,0.74%,-73.13%,"['Software', 'Tech', 'Video games']",,,,,
971,Snap,$16.93 B,USA,$10.50,-3.40%,-78.08%,"['Internet', 'Tech']",,,,,
972,Abiomed,$17.00 B,USA,$377.20,-0.06%,20.73%,['Medical devices'],,,,,
973,W. P. Carey,$17.04 B,USA,$81.92,1.37%,5.92%,,,,,,
974,Pkn Orlen,$17.03 B,Poland,$14.67,-4.13%,-18.86%,"['Oil&Gas', 'Energy']",,,,,
975,Targa Resources,$17.02 B,USA,$75.19,0.32%,43.38%,"['Oil&Gas', 'Energy']",,,,,
976,Lucid Motors,$17.05 B,USA,$10.15,3.26%,-79.03%,"['Automakers', 'Electric Vehicles']",,,,,
977,Icahn Enterprises,$17.06 B,USA,$50.57,-0.51%,-0.49%,,,,,,
978,Pidilite,$17.08 B,India,$33.61,0.10%,12.82%,,,,,,
979,Live Nation,$17.06 B,USA,$73.92,0.50%,-30.47%,['Entertainment'],,,,,
980,Power Corporation Of Canada,$17.09 B,Canada,$25.28,0.32%,-22.26%,,,,,,
981,Geberit,$17.12 B,Switzerland,$495.79,0.85%,-35.11%,,,,,,
982,Quest Diagnostics,$17.13 B,USA,$150.46,-1.41%,-2.50%,['Diagnostics and Testing'],,,,,
983,Fox Corporation,$17.16 B,USA,$30.61,1.09%,-6.99%,['Media/Press'],,,,,
984,Coal India,$17.15 B,India,$2.78,0.22%,31.13%,"['Mining', 'Coal Mining', 'Energy']",,,,,
985,Snam,$17.17 B,Italy,$5.11,-0.88%,-9.56%,"['Energy', 'Infrastructure']",,,,,
986,Solaredge,$17.25 B,Israel,$308.77,4.40%,-3.07%,"['Energy', 'Electricity', 'Renewable energy']",,,,,
987,China Communications Construction,$17.18 B,China,$1.28,1.36%,9.40%,"['Engineering', 'Construction']",,,,,
988,Keycorp (keybank),$17.30 B,USA,$18.55,-0.91%,-18.75%,"['Financial services', 'Banks']",,,,,
989,Suzuki Motor,$17.29 B,Japan,$35.61,-1.77%,-11.17%,"['Automakers', 'Manufacturing']",,,,,
990,Antofagasta,$17.38 B,UK,$17.64,2.06%,-4.29%,"['Conglomerate', 'Mining']",,,,,
991,Cincinnati Financial,$17.35 B,USA,$110.41,-0.64%,-6.21%,['Insurance'],,,,,
992,Posco,$17.41 B,South Korea,$56.94,-0.16%,-5.34%,"['Steel producers', 'Steel industry']",,,,,
993,Icon Plc,$17.39 B,Ireland,$213.07,-2.57%,-21.97%,['Pharmaceuticals'],,,,,
994,Toyota Industries,$17.45 B,Japan,$56.23,-2.96%,-30.63%,,,,,,
995,Ball Corporation,$17.51 B,USA,$55.81,-0.07%,-40.36%,['Packaging'],,,,,
996,Tsingtao,$17.17 B,China,$15.54,0.06%,,"['Alcoholic beverages', 'Beverages']",,,,,
997,Atmos Energy,$15.93 B,USA,$113.00,0.86%,8.04%,['Utility companies'],,,,,
998,Hai Di Lao Hot Pot,$15.22 B,China,$2.73,2.91%,,"['Restaurant chains', 'Food']",,,,,
999,Sasa Polyester,$14.49 B,Turkey,$6.40,-3.79%,,['Chemicals'],,,,,
1000,Ase Group,$14.49 B,Taiwan,$6.76,1.65%,,"['Semiconductors', 'Tech']",,,,,
1001,Surgutneftegas,$14.53 B,Russia,$0.41,-0.54%,,"['Oil&Gas', 'Energy']",,,,,
1002,Toshiba,$14.72 B,Japan,$34.04,0.71%,,,,,,,
1003,Essex Property Trust,$14.65 B,USA,$218.61,1.78%,,"['Real estate', 'Investment']",,,,,
1004,Fairfax Financial,$14.53 B,Canada,$581.55,-0.03%,,,,,,,
1005,Huatai Securities,$16.04 B,China,$17.09,0.00%,,,,,,,
1006,Erie Indemnity,$14.03 B,USA,$268.47,0.59%,,['Insurance'],,,,,
1007,Eqt Corporation,$13.54 B,USA,$36.91,3.48%,,,,,,,
1008,Tradeweb,$15.13 B,USA,$65.48,1.44%,,['Financial services'],,,,,
1009,Arca Continental,$14.28 B,Mexico,$8.19,-1.30%,,['Beverages'],,,,,
1010,Lkq Corporation,$14.43 B,USA,$54.01,1.47%,,['auto parts'],,,,,
1011,Akamai,$14.24 B,USA,$90.58,1.75%,,"['Tech', 'Internet', 'Software', 'IT security']",,,,,
1012,Grasim Industries,$14.39 B,India,$21.87,-0.25%,,,,,,,
1013,China Steel,$14.62 B,Taiwan,$1.52,0.00%,,"['Steel producers', 'Steel industry']",,,,,
1014,Swiss Life,$17.52 B,Switzerland,$580.24,2.59%,-7.67%,['Insurance'],,,,,
1015,Poolcorp,$12.93 B,USA,$331.12,0.03%,,,,,,,
1016,Telenor,$12.93 B,Norway,$9.25,0.37%,,['Telecommunication'],,,,,
1017,Novolipetsk Steel,$12.94 B,Russia,$2.16,-0.27%,,"['Steel producers', 'Steel industry']",,,,,
1018,Poste Italiane,$12.95 B,Italy,$9.98,0.87%,,['Courier'],,,,,
1019,Nice,$12.99 B,Israel,$203.41,3.15%,,"['Software', 'Tech']",,,,,
1020,Siemens Gamesa,$13.02 B,Spain,$19.06,0.53%,,,,,,,
1021,Grupo Elektra,$13.02 B,Mexico,$52.75,-0.99%,,['Retail'],,,,,
1022,Everest Re,$13.02 B,,$332.54,-0.01%,,['Insurance'],,,,,
1023,Bio-techne,$13.02 B,USA,$82.98,2.79%,,['Pharmaceuticals'],,,,,
1024,Polyus,$13.04 B,Russia,$95.09,-14.24%,,,,,,,
1025,Carlisle Companies,$13.03 B,USA,$251.99,1.47%,,,,,,,
1026,Tencent Music,$13.05 B,China,$7.69,-6.33%,,['Entertainment'],,,,,
1027,Tdk,$13.06 B,Japan,$34.48,-0.84%,,['Electronics'],,,,,
1028,International Paper,$13.08 B,USA,$36.80,2.00%,,['Pulp and paper'],,,,,
1029,American Homes 4 Rent,$13.12 B,USA,$32.42,-1.34%,,"['Real estate', 'Investment']",,,,,
1030,Shinkin Central Bank,$13.12 B,Japan,"$1,956",0.30%,,"['Banks', 'Financial services']",,,,,
1031,Asahi Group,$16.27 B,Japan,$32.11,0.68%,-24.55%,"['Beverages', 'Alcoholic beverages']",,,,,
1032,Indusind Bank,$11.56 B,India,$14.91,2.34%,,"['Banks', 'Financial services']",,,,,
1033,Nippon Yūsen,$11.59 B,Japan,$22.88,2.18%,,"['Transportation', 'Container shipping', 'Maritime transportation']",,,,,
1034,The Toro Company,$11.61 B,USA,$111.47,1.16%,,,,,,,
1035,Graco,$11.61 B,USA,$68.93,1.52%,,,,,,,
1036,American Financial Group,$11.64 B,USA,$136.74,0.57%,,,,,,,
1037,Teleflex,$11.65 B,USA,$248.47,0.46%,,['Medical devices'],,,,,
1038,Aecom,$11.67 B,USA,$84.19,0.57%,,['Engineering'],,,,,
1039,Amundi,$11.68 B,France,$57.40,1.68%,,"['Asset Management', 'Investment']",,,,,
1040,Carnival,$11.70 B,USA,$9.01,1.58%,,"['Travel', 'Cruise Lines']",,,,,
1041,Transunion,$11.70 B,USA,$60.74,3.07%,,['Financial services'],,,,,
1042,Sumitomo Realty & Development,$11.71 B,Japan,$24.71,-0.53%,,['Real estate'],,,,,
1043,Paylocity,$11.72 B,USA,$210.52,3.86%,,"['Software', 'Tech']",,,,,
1044,Talanx,$11.76 B,Germany,$46.47,0.23%,,"['Financial services', 'Insurance']",,,,,
1045,Delivery Hero,$11.75 B,Germany,$44.39,6.37%,,"['DAX', 'Internet', 'Food Delivery', 'Food', 'Tech']",,,,,
1046,Ihh Healthcare,$11.79 B,Malaysia,$1.33,-1.10%,,['Healthcare'],,,,,
1047,Akzonobel,$11.85 B,Netherlands,$68.62,1.40%,,"['Chemicals', 'Paint & Coating']",,,,,
1048,Stanley Black & Decker,$11.87 B,USA,$80.27,1.31%,,"['Tool manufacturers', 'Manufacturing']",,,,,
1049,Croda International,$11.88 B,UK,$85.09,1.26%,,['Chemicals'],,,,,
1050,Shandong Gold Mining,$11.88 B,China,$2.84,2.64%,,"['Mining', 'Gold mining']",,,,,
1051,Bureau Veritas,$11.88 B,France,$26.31,-0.08%,,['Professional services'],,,,,
1052,Aveva,$11.89 B,UK,$39.38,-0.03%,,"['Software', 'Tech']",,,,,
1053,Godaddy,$11.89 B,USA,$76.42,2.28%,,"['Internet', 'Tech']",,,,,
1054,Taiwan Cooperative Financial,$11.90 B,Taiwan,$0.85,-0.95%,,"['Banks', 'Financial services', 'Insurance']",,,,,
1055,Orient Overseas Container Line,$11.94 B,Hong Kong,$18.09,2.63%,,"['Transportation', 'Container shipping', 'Maritime transportation']",,,,,
1056,Smith & Nephew,$11.93 B,UK,$27.41,0.99%,,['Medical equipment'],,,,,
1057,Dlf,$11.96 B,India,$4.84,-0.58%,,['Real estate'],,,,,
1058,Telefonica Brasil,$11.97 B,Brazil,$7.07,-0.98%,,['Telecommunication'],,,,,
1059,Campari,$11.98 B,Italy,$10.64,0.95%,,"['Alcoholic beverages', 'Beverages']",,,,,
1060,Tenaga Nasional,$12.01 B,Malaysia,$8.31,0.00%,,"['Electricity', 'Energy', 'Utility companies']",,,,,
1061,Axon Enterprise,$11.99 B,USA,$168.59,-0.01%,,,,,,,
1062,Reliance Steel & Aluminum,$12.01 B,USA,$204.71,0.82%,,"['Steel producers', 'Steel industry', 'Aluminum']",,,,,
1063,Lg Electronics,$12.04 B,South Korea,$15.93,-2.58%,,"['Electronics', 'Tech', 'Tech Hardware']",,,,,
1064,Erste Group Bank,$12.02 B,,$29.54,-1.86%,,"['Banks', 'Financial services']",,,,,
1065,Abn Amro,$12.02 B,Netherlands,$13.39,0.28%,,,,,,,
1066,Stora Enso,$12.05 B,Finland,$15.98,-0.66%,,['Pulp and paper'],,,,,
1067,Uni-president Enterprises,$12.10 B,Taiwan,$2.13,-0.61%,,['Food'],,,,,
1068,Bank Of Baroda,$12.05 B,India,$2.33,1.55%,,"['Banks', 'Financial services']",,,,,
1069,Ovintiv,$12.09 B,USA,$48.73,4.32%,,"['Oil&Gas', 'Energy']",,,,,
1070,Banque Saudi Fransi,$12.12 B,Saudi Arabia,$10.07,1.75%,-7.87%,"['Banks', 'Financial services']",,,,,
1071,Wisetech Global,$12.12 B,Australia,$37.06,2.00%,,"['Software', 'Tech']",,,,,
1072,Grab Holdings,$12.13 B,Singapore,$3.15,4.30%,,"['Food', 'Food Delivery', 'Internet', 'Tech', 'Ridesharing']",,,,,
1073,Kyowa Kirin,$12.13 B,Japan,$22.57,0.65%,,"['Pharmaceuticals', 'Biotech']",,,,,
1074,Match Group,$12.16 B,USA,$43.55,-0.07%,,"['Internet', 'Online Dating', 'Tech']",,,,,
1075,Vodacom,$12.15 B,South Africa,$7.07,-4.29%,,['Telecommunication'],,,,,
1076,Singapore Airlines,$12.16 B,Singapore,$4.10,0.73%,,"['Airlines', 'Travel', 'Transportation']",,,,,
1077,Capitec Bank,$12.16 B,South Africa,$104.80,-1.12%,,"['Banks', 'Financial services']",,,,,
1078,Hua Xia Bank,$12.18 B,China,$0.76,0.76%,,"['Banks', 'Financial services']",,,,,
1079,Segro,$12.19 B,UK,$9.97,2.22%,,"['REITs', 'Real estate', 'Investment']",,,,,
1080,Zoominfo,$12.18 B,USA,$30.19,3.96%,,"['Software', 'Tech']",,,,,
1081,Julius Bär,$12.22 B,Switzerland,$58.59,2.20%,,"['Banks', 'Financial services']",,,,,
1082,Bank Of Shanghai,$12.27 B,China,$0.86,0.33%,,"['Banks', 'Financial services']",,,,,
1083,Ono Pharmaceutical,$12.29 B,Japan,$25.18,1.02%,,['Pharmaceuticals'],,,,,
1084,Tech Mahindra,$12.29 B,India,$12.63,1.32%,,,,,,,
1085,Continental,$12.34 B,Germany,$61.72,3.61%,,"['Tires', 'DAX']",,,,,
1086,Hindalco Industries,$12.34 B,India,$5.53,-0.83%,,,,,,,
1087,Lamb Weston,$12.37 B,USA,$86.01,0.50%,,['Food'],,,,,
1088,Biomérieux,$12.35 B,France,$104.39,0.45%,,"['Diagnostics and Testing', 'Biotech']",,,,,
1089,Nn Group,$12.36 B,Netherlands,$43.78,1.15%,,,,,,,
1090,Camden Property Trust,$12.38 B,USA,$116.29,0.25%,,,,,,,
1091,Bajaj Auto,$12.43 B,India,$43.92,1.11%,,,,,,,
1092,Alfa Laval,$12.42 B,Sweden,$30.06,0.98%,,,,,,,
1093,Bio-rad Laboratories,$12.41 B,USA,$418.28,0.53%,,['Healthcare'],,,,,
1094,Polestar,$12.44 B,Sweden,$5.90,-1.83%,,"['Automakers', 'Electric Vehicles']",,,,,
1095,Carl Zeiss Meditec,$12.47 B,Germany,$131.88,1.63%,,,,,,,
1096,Bill.com,$12.45 B,USA,$117.82,5.34%,,"['Internet', 'Financial services']",,,,,
1097,Newcrest Mining,$12.49 B,Australia,$13.98,-0.15%,,['Mining'],,,,,
1098,J.m. Smucker Company,$15.88 B,USA,$148.93,-0.75%,3.99%,['Food'],,,,,
1099,Itaúsa,$16.59 B,Brazil,$1.76,-1.21%,-1.12%,,,,,,
1100,Omv,$16.26 B,,$49.75,-0.20%,-17.00%,"['Oil&Gas', 'Energy']",,,,,
1101,Avangrid,$16.45 B,USA,$42.57,0.61%,-7.72%,,,,,,
1102,Norsk Hydro,$16.57 B,Norway,$8.12,0.48%,0.62%,,,,,,
1103,Wsp Global,$15.98 B,Canada,$128.43,-0.14%,-2.37%,"['Engineering', 'Professional services']",,,,,
1104,Coles Group,$15.99 B,Australia,$11.95,-0.23%,2.58%,['Retail'],,,,,
1105,Hyundai Mobis,$15.73 B,South Korea,$169.33,0.72%,-15.16%,,,,,,
1106,Shionogi,$14.09 B,Japan,$47.29,-0.02%,-22.34%,['Pharmaceuticals'],,,,,
1107,Avantor,$15.52 B,USA,$23.02,1.63%,-36.20%,['Chemicals'],,,,,
1108,Blue Owl Capital,$17.40 B,USA,$12.49,3.05%,2.38%,"['Asset Management', 'Financial services']",,,,,
1109,Ms&ad Insurance,$17.16 B,Japan,$32.14,1.24%,-6.84%,['Insurance'],,,,,
1110,Bank Of Jiangsu,$16.57 B,China,$1.12,0.00%,4.67%,"['Banks', 'Financial services']",,,,,
1111,Hubspot,$16.02 B,USA,$329.94,5.81%,-22.85%,"['Software', 'Tech']",,,,,
1112,Host Hotels & Resorts,$12.77 B,USA,$17.61,3.10%,3.35%,"['Real estate', 'Hotels', 'Investment', 'Travel']",,,,,
1113,Thai Beverage,$13.39 B,Thailand,$0.53,0.00%,3.01%,"['Beverages', 'Alcoholic beverages']",,,,,
1114,Freddie Mac,$10.06 B,USA,$3.12,6.66%,-23.78%,['Financial services'],,,,,
1115,Ryan Specialty Group,$10.89 B,USA,$41.87,0.10%,13.53%,['Financial services'],,,,,
1116,Renault,$11.65 B,France,$39.62,-0.05%,5.12%,"['Automakers', 'CAC 40', 'Manufacturing']",,,,,
1117,News Corp,$11.16 B,USA,$19.64,3.04%,-9.33%,['Media/Press'],,,,,
1118,Kikkoman,$9.91 B,Japan,$51.79,-1.33%,-31.67%,['Food'],,,,,
1119,Vail Resorts,$10.13 B,USA,$251.30,2.43%,-9.98%,,,,,,
1120,Shree Cement,$10.85 B,India,$300.57,0.13%,-10.62%,,,,,,
1121,Emera,$10.86 B,Canada,$40.49,0.22%,-15.31%,,,,,,
1122,Saputo,$10.93 B,Canada,$26.11,-2.94%,21.22%,"['Food', 'Dairy companies']",,,,,
1123,Heidelbergcement,$12.28 B,Germany,$63.64,0.17%,-10.72%,"['Cement', 'Building materials', 'DAX']",,,,,
1124,Boliden,$11.90 B,Sweden,$43.52,1.57%,3.94%,['Mining'],,,,,
1125,Boston Properties,$11.16 B,USA,$71.20,1.09%,-37.78%,['Real estate'],,,,,
1126,Kakaobank,$10.70 B,South Korea,$22.47,2.21%,-38.82%,"['Banks', 'Financial services']",,,,,
1127,Israel Chemicals,$10.53 B,Israel,$8.17,1.36%,-19.51%,"['Chemicals', 'Fertilizer companies']",,,,,
1128,Industrivarden,$11.54 B,Sweden,$26.21,1.26%,-16.10%,['Investment'],,,,,
1129,Hotai Motor,$11.29 B,Taiwan,$20.67,-0.16%,-5.96%,['Automakers'],,,,,
1130,International Consolidated Airlines,$10.10 B,Spain,$2.00,3.09%,-6.98%,"['Airlines', 'Travel', 'Transportation']",,,,,
1131,Asahi Kasei,$10.13 B,Japan,$7.31,0.69%,-26.97%,['Chemicals'],,,,,
1132,Evonik Industries,$10.14 B,Germany,$21.77,1.62%,-33.55%,['Chemicals'],,,,,
1133,Next Plc,$10.16 B,UK,$78.63,0.53%,-22.75%,"['Clothing', 'Retail']",,,,,
1134,Eiffage,$10.16 B,France,$105.91,0.37%,-1.03%,['Construction'],,,,,
1135,Lamar Advertising,$10.18 B,USA,$100.12,0.78%,-6.73%,['Advertising'],,,,,
1136,Country Garden,$10.19 B,China,$0.37,3.60%,-57.47%,,,,,,
1137,Zillow,$10.19 B,USA,$43.16,3.23%,,"['Real estate', 'Internet', 'Tech']",,,,,
1138,Morningstar,$10.21 B,USA,$240.77,1.29%,-13.75%,['Financial services'],,,,,
1139,Agco,$10.22 B,USA,$137.09,1.26%,16.69%,"['Agriculture', 'Manufacturing']",,,,,
1140,Dick's Sporting Goods,$10.26 B,USA,$123.05,2.26%,12.11%,['Sports goods'],,,,,
1141,Galp Energia,$10.26 B,Portugal,$13.58,-0.04%,28.23%,"['Oil&Gas', 'Energy']",,,,,
1142,Bath & Body Works,$10.28 B,USA,$45.01,1.72%,-15.16%,['Retail'],,,,,
1143,Samsung Life Insurance,$10.31 B,South Korea,$57.47,-1.25%,5.10%,['Insurance'],,,,,
1144,Synnex,$10.32 B,USA,$109.05,1.95%,4.54%,,,,,,
1145,Suntory,$10.32 B,Japan,$33.41,0.70%,-13.24%,"['Alcoholic beverages', 'Beverages']",,,,,
1146,Isuzu,$9.03 B,Japan,$11.66,0.53%,-4.43%,['Automakers'],,,,,
1147,Comerica,$9.05 B,USA,$69.13,-1.02%,-22.93%,,,,,,
1148,Sg Holdings,$9.05 B,Japan,$14.30,-0.48%,-33.64%,,,,,,
1149,Hella,$9.06 B,Germany,$81.61,-0.53%,14.17%,"['auto parts', 'Automotive Suppliers', 'Manufacturing']",,,,,
1150,Knight-swift,$9.07 B,USA,$56.46,1.49%,1.55%,['Transportation'],,,,,
1151,Lincoln Electric,$9.07 B,USA,$156.73,1.57%,21.61%,,,,,,
1152,Nov,$9.07 B,USA,$23.11,2.67%,49.77%,"['Energy', 'Oil&Gas']",,,,,
1153,Legend Biotech,$9.07 B,USA,$54.23,-0.60%,38.31%,"['Pharmaceuticals', 'Biotech']",,,,,
1154,Samsung Electro-mechanics,$9.08 B,South Korea,$56.42,-0.14%,-30.93%,['Electronics'],,,,,
1155,Kesko,$9.08 B,Finland,$22.86,0.72%,-18.04%,"['Retail', 'Supermarket Chains']",,,,,
1156,Store Capital,$9.09 B,USA,$32.16,0.09%,5.27%,,,,,,
1157,Churchill Downs,$9.09 B,USA,$243.12,4.03%,19.58%,,,,,,
1158,Getlink,$9.10 B,France,$16.77,0.29%,3.45%,"['Railways', 'Transportation']",,,,,
1159,Vat Group,$9.11 B,Switzerland,$303.93,0.71%,-25.77%,,,,,,
1160,Bj's Wholesale Club,$9.13 B,USA,$67.93,0.43%,12.24%,,,,,,
1161,Kepco,$8.32 B,Japan,$9.33,0.67%,-3.62%,"['Electricity', 'Utility companies', 'Energy']",,,,,
1162,Icici Prulife,$8.33 B,India,$5.79,-2.64%,-25.39%,['Insurance'],,,,,
1163,Skf (svenska Kullagerfabriken),$8.33 B,Sweden,$17.74,3.33%,-22.87%,,,,,,
1164,Owens Corning,$8.35 B,USA,$88.41,1.98%,-0.92%,['Building materials'],,,,,
1165,Renaissancere,$8.36 B,,$191.30,-1.93%,15.37%,['Insurance'],,,,,
1166,St. James's Place,$8.36 B,UK,$15.09,0.45%,-30.30%,"['Asset Management', 'Investment', 'Financial services']",,,,,
1167,Sei Investments,$8.36 B,USA,$62.07,2.06%,7.52%,['Financial services'],,,,,
1168,Azrieli Group,$8.37 B,Israel,$69.03,-2.64%,-27.88%,['Real estate'],,,,,
1169,Doosan Enerbility,$8.38 B,South Korea,$13.13,0.93%,-15.13%,['Energy'],,,,,
1170,Jones Lang Lasalle,$8.38 B,USA,$176.67,0.95%,-28.12%,,,,,,
1171,Penske Automotive,$8.39 B,USA,$117.69,2.21%,19.08%,,,,,,
1172,Agilon Health,$8.40 B,USA,$20.41,3.08%,25.06%,['Healthcare'],,,,,
1173,Signify Health,$8.41 B,USA,$28.76,-0.24%,134.39%,['Healthcare'],,,,,
1174,Choice Properties Reit,$8.41 B,Canada,$11.63,1.37%,2.02%,"['Real estate', 'Investment', 'REITs']",,,,,
1175,China Gas,$8.41 B,China,$1.55,2.72%,-15.76%,"['Oil&Gas', 'Energy']",,,,,
1176,National Retail Properties,$8.42 B,USA,$47.11,0.83%,8.03%,"['REITs', 'Real estate', 'Investment']",,,,,
1177,Celsius Holdings,$7.61 B,USA,$99.88,2.12%,127.41%,['Beverages'],,,,,
1178,New World Development Company,$7.62 B,Hong Kong,$3.03,3.28%,-26.10%,['Real estate'],,,,,
1179,Woori Financial Group,$7.62 B,South Korea,$31.45,2.71%,-14.31%,"['Banks', 'Financial services']",,,,,
1180,Misc Berhad,$7.63 B,Malaysia,$1.71,0.27%,2.40%,"['Transportation', 'Maritime transportation']",,,,,
1181,Tokyu,$7.63 B,Japan,$12.67,0.68%,-5.31%,"['Railways', 'Transportation']",,,,,
1182,Bajaj Holdings & Investment,$7.64 B,India,$68.69,-1.24%,-4.41%,['Investment'],,,,,
1183,Abb India,$7.65 B,India,$36.11,0.52%,14.09%,['Engineering'],,,,,
1184,Manhattan Associates,$7.65 B,USA,$122.65,1.60%,-4.29%,,,,,,
1185,Elbit Systems,$7.66 B,Israel,$170.42,0.52%,1.69%,,,,,,
1186,Canadian Utilities,$7.66 B,Canada,$28.35,0.45%,-0.74%,,,,,,
1187,Arkema,$7.66 B,France,$100.31,1.03%,-30.84%,['Chemicals'],,,,,
1188,Oge Energy,$7.67 B,USA,$38.36,1.00%,2.81%,,,,,,
1189,Srf Limited,$7.68 B,India,$25.91,-1.51%,-22.12%,,,,,,
1190,Japan Exchange Group,$7.68 B,Japan,$14.57,-0.82%,-30.39%,"['Stock exchanges', 'Financial services', 'Stock/Crypto exchanges']",,,,,
1191,Gea Group,$7.68 B,Germany,$44.18,0.17%,-8.11%,,,,,,
1192,Ocado,$7.68 B,UK,$8.65,0.00%,-55.37%,"['Retail', 'E-Commerce', 'Internet', 'Tech', 'Food']",,,,,
1193,Globalwafers,$7.08 B,Taiwan,$16.28,-0.10%,-41.16%,"['Semiconductors', 'Tech', 'Tech Hardware']",,,,,
1194,Mapletree Commercial Trust,$7.08 B,Singapore,$1.35,0.00%,-2.17%,"['Real estate', 'Investment', 'REITs']",,,,,
1195,Q Holding,$7.09 B,United Arab Emirates,$1.03,0.00%,-23.13%,['Investment'],,,,,
1196,Planet Fitness,$7.09 B,USA,$79.22,-1.55%,-5.52%,['Sports goods'],,,,,
1197,Kakao Pay,$7.10 B,South Korea,$53.43,3.12%,-56.06%,"['Financial services', 'Tech', 'Internet']",,,,,
1198,Autoliv,$7.10 B,Sweden,$81.84,2.04%,-17.12%,['Automotive Suppliers'],,,,,
1199,Amkor Technology,$7.11 B,USA,$29.03,0.38%,34.40%,,,,,,
1200,Itt,$7.11 B,USA,$86.09,2.99%,-8.24%,,,,,,
1201,Canara Bank,$7.12 B,India,$3.93,-0.37%,35.52%,"['Banks', 'Financial services']",,,,,
1202,Kongsberg Gruppen,$7.12 B,Norway,$40.33,1.48%,30.52%,"['Defense contractors', 'Aerospace']",,,,,
1203,Medpace,$7.12 B,USA,$229.14,0.13%,39.06%,,,,,,
1204,Canadian Tire,$7.12 B,Canada,$209.11,0.00%,-19.57%,['Retail'],,,,,
1205,Hankyu Hanshin Holdings,$7.13 B,Japan,$29.61,0.92%,1.96%,"['Railways', 'Transportation']",,,,,
1206,Sabesp,$7.13 B,Brazil,$10.31,-3.46%,55.98%,,,,,,
1207,Treasury Wine Estates,$7.13 B,Australia,$9.89,0.57%,20.17%,"['Beverages', 'Alcoholic beverages']",,,,,
1208,Cholamandalam Investment And Finance,$7.14 B,India,$8.69,0.71%,-1.14%,"['Investment', 'Financial services']",,,,,
1209,Minebeamitsumi,$6.59 B,Japan,$16.23,0.38%,-33.70%,,,,,,
1210,Airtac International,$6.59 B,Taiwan,$32.99,1.83%,-4.71%,['Manufacturing'],,,,,
1211,World Wrestling Entertainment,$6.59 B,USA,$88.69,-0.18%,78.63%,"['Entertainment', 'Media/Press']",,,,,
1212,Voya Financial,$6.60 B,USA,$67.96,3.00%,-2.55%,['Financial services'],,,,,
1213,Choice Hotels International,$6.60 B,USA,$123.91,1.98%,-11.39%,"['Hotels', 'Travel']",,,,,
1214,Agree Realty,$6.60 B,USA,$74.31,0.24%,15.95%,"['Real estate', 'Investment', 'REITs']",,,,,
1215,Texas Roadhouse,$6.60 B,USA,$98.76,0.91%,24.57%,"['Restaurant chains', 'Food']",,,,,
1216,U.s. Steel,$6.60 B,USA,$28.21,2.06%,46.55%,"['Steel producers', 'Steel industry']",,,,,
1217,Silergy,$6.61 B,China,$17.37,1.35%,-86.86%,"['Semiconductors', 'Tech', 'Tech Hardware']",,,,,
1218,Great Eastern,$6.62 B,Singapore,$13.99,0.93%,-10.09%,,,,,,
1219,Mks Instruments,$6.62 B,USA,$99.63,4.22%,-37.15%,,,,,,
1220,Israel Discount Bank,$6.63 B,Israel,$52.30,0.00%,-24.78%,,,,,,
1221,Qualtrics,$6.63 B,USA,$11.24,4.36%,-55.70%,"['Software', 'Tech']",,,,,
1222,Wynn Macau,$6.64 B,,$1.27,5.10%,30.93%,"['Hotels', 'Travel']",,,,,
1223,Lodha Group,$6.65 B,India,$13.81,1.14%,-19.43%,['Real estate'],,,,,
1224,Hunter Douglas,$6.65 B,Netherlands,$191.23,0.00%,-1.62%,"['Manufacturing', 'Furniture']",,,,,
1225,Convatec Group,$6.15 B,UK,$3.01,0.74%,27.54%,['Medical devices'],,,,,
1226,Mapfre,$6.15 B,Spain,$2.01,0.54%,-4.74%,"['Financial services', 'Insurance']",,,,,
1227,Bosch India,$6.15 B,India,$208.67,-1.09%,-5.68%,,,,,,
1228,Chang Hwa Commercial Bank,$6.15 B,Taiwan,$0.58,0.00%,-7.94%,"['Banks', 'Financial services']",,,,,
1229,Endeavor Group,$6.15 B,USA,$21.28,3.10%,-28.35%,"['Media/Press', 'Entertainment']",,,,,
1230,Nutanix,$6.16 B,USA,$26.80,2.06%,0.68%,"['Software', 'Tech']",,,,,
1231,Macy's,$6.17 B,USA,$22.76,-0.09%,-0.78%,['Retail'],,,,,
1232,Belimo Holding,$6.18 B,Switzerland,$502.59,0.43%,-6.91%,,,,,,
1233,Oshkosh Corporation,$6.18 B,USA,$94.53,2.94%,-18.23%,,,,,,
1234,Kintetsu Ghd,$6.18 B,Japan,$32.51,0.72%,8.98%,"['Railways', 'Transportation']",,,,,
1235,Toll Brothers,$6.18 B,USA,$55.86,1.40%,-2.73%,,,,,,
