06-MarScoToc-industry,06-MarScoToc-headquarter,06-MarScoToc-name
industrial machinery,"coimbatore, tamil nadu, india",l.g.balakrishnan & bros
internet,"bangalore,karnataka, india",nobroker
nbfc,"gurgaon/gurugram, haryana, india",satin creditcare network
industrial machinery,"noida, uttar pradesh, india",isgec
it services & consulting,"mumbai, maharashtra, india",iksula
logistics,"bonn, germany",dhl supply chain
education & training,,niit
oil & gas,"mumbai, maharashtra, india",nayara energy
automobile,"bangalore/bengaluru, karnataka, india",toyota kirloskar motor
facility management services,"copenhagen, denmark",iss facility services
bpo,"delhi/ncr, delhi, india",security and intelligence services (india)
fmcg,"delhi/ncr, new delhi, india",vlcc
engineering & construction,"mumbai, maharashtra, india",j. kumar infraprojects
oil & gas,"mumbai, maharashtra, india",l&t energy hydrocarbon
retail,"mumbai, maharashtra, india",trent
it services & consulting,"santa clara,california, united states",chegg
bpo,"winnipeg, manitoba, canada",24-7 intouch
internet,"mumbai, india",videocon d2h
analytics & kpo,"new york, new york, united states (usa)",mercer
edtech,"gurgaon,haryana, india",planet spark
chemicals,"amsterdam, netherlands",akzo nobel india
internet,"bangalore,karnataka, india",meesho
financial services,"mumbai, maharashtra, india",edelweiss
fashion & textile,"lausanne, switzerland",bata
fashion & textile,"ludhiana, punjab, india",trident group
insurance,"mumbai, maharashtra, india",sbi general insurance
fashion & textile,"new delhi, delhi, india",relaxo footwear
analytics & kpo,,capgemini engineering
analytics & kpo,,capgemini engineering
building material,"delhi/ncr, new delhi, india",jindal saw
automobile,,honda cars
healthcare,"gurgaon/gurugram, haryana, india",fortis healthcare
financial services,"hyderabad, india",bharat financial inclusion
auto components,"pune, maharashtra, india",lumax industries
engineering & construction,"saint-ouen, france",alstom transportation
automobile,"mumbai, maharashtra, india",swaraj tractors
financial services,"thrissur/trichur, kerala, india",esaf microfinance & investments (p)
fmcg,"mumbai, maharashtra, india",marico
fashion & textile,"delhi/ncr, delhi, india",fabindia
fintech,"gurgaon/gurugram, haryana, india",paisabazaar.com
engineering & construction,"gurgaon/gurugram, haryana, india",punj lloyd
nbfc,"mumbai, maharashtra, india",indiabulls consumer finance
engineering & construction,"noida, uttar pradesh, india",the jaypee group
other,"monheim am rhein,north rhine-westphalia, germany",bayer
automobile,"chennai, tamil nadu, india",daimler india commercial vehicles
food processing,"coimbatore, tamil nadu, india",suguna foods
fashion & textile,"mumbai, maharashtra, india",pantaloons
fashion & textile,"mumbai, india",welspun
consumer electronics & appliances,"qingdao, china",haier appliances india
financial services,"mumbai, maharashtra, india",sbicap securities
iron & steel,"pune, maharashtra, india",bharat forge
retail,"morelia, mexico",cinépolis
power,"ahmedabad, gujrat, india",adani power
it services & consulting,"mumbai, india",oracle financial services software
it services & consulting,"blue bell, pennsylvania, united states (usa)",unisys
it services & consulting,"basking ridge, new jersey, united states (usa)",collabera technologies
it services & consulting,"bangalore/bengaluru, karnataka, india",allstate
nbfc,"gurgaon/gurugram, haryana, india",indiabulls home loans
bpo,"mumbai, maharashtra, india",vfs global services
agro chemicals,"gurgaon/gurugram, haryana, india",pi industries
education & training,"gurgaon/gurugram, haryana, india",frankfinn institute of air hostess training
printing & publishing,"falls church, virginia, united states (usa)",aptara
fintech,"mumbai,maharashtra, india",sharekhan
financial services,"bangalore/bengaluru, karnataka, india",northern trust operating services
consumer electronics & appliances,"osaka city, osaka, japan",daikin
engineering & construction,"marousi, alger, greece",consolidated contractors
engineering & construction,"delhi/ncr, new delhi, india",gmr group
software product,"sunnyvale, united states (usa)",microsoft corporation
it services & consulting,"gurgaon, india",vvdn technologies
it services & consulting,"chennai, india",standard chartered global business services
financial services,"delhi/ncr, new delhi, india",max bupa health insurance company
it services & consulting,,optum global solutions
power,"mumbai, maharashtra, india",tata power
it services & consulting,"delhi/ncr, delhi, india",sysnet global technologies
software product,"windsor locks,connecticut, united states",ss&c technologies
it services & consulting,"las vegas, nevada, united states (usa)",xcelserv solutions
analytics & kpo,"hook, england",serco
financial services,"mumbai,maharashtra, india",aadhar housing finance
industrial machinery,"san donato milanese, milan, italy",saipem
internet,"chennai,tamil nadu, india",computer age management services
healthcare,,karma ayurveda
it services & consulting,"kansas, missouri, united states (usa)",cerner
telecom,"mumbai, india",tata communications transformation services
aviation,"gurgaon/gurugram, haryana, india",spicejet
education & training,"noida, uttar pradesh, india",amity university
it services & consulting,"new york, new york, united states (usa)",kyndryl
railways,"delhi/ncr, delhi, india",indian railways
it services & consulting,"panchkula, india",vertex customer solutions
auto components,"gurgaon/gurugram, haryana, india",krishna maruti
fmcg,"nagpur, india",haldiram foods
real estate,"bangalore/bengaluru, karnataka, india",altisource
real estate,"chicago, united states (usa)",cushman & wakefield
pharma,"brentford, unitedkingdom",glaxosmithkline pharmaceuticals
engineering & construction,"mumbai, maharashtra, india",gannon dunkerley
automobile,"seoul, south korea",kia motors
automobile,"mumbai, india",tata group
pharma,"hyderabad/secunderabad, telangana, india",gland pharma
pharma,"chennai, tamil nadu, india",apollo pharmacy
fmcg,"hyderabad/secunderabad, telangana, india",heritage foods
auto components,"chandigarh, chandigarh, india",steel strips wheels
bpo,"mumbai, india",ags transact technologies
hospitality,"bethesda, maryland, united states (usa)",jw marriott
hospitality,"chertsey, surrey, united kingdom (uk)",compass group support services
real estate,"ahmedabad, gujrat, india",adani ports and sez
it services & consulting,"milpitas, california, united states (usa)",idc technologies
other,"san mateo,california, united states",ttec india
financial services,"new york city,new york, united states",broadridge financial solutions
pharma,"mumbai, maharashtra, india",fdc
it services & consulting,"new jersey, unitedstates",citiustech
it services & consulting,"troy, michigan, united states (usa)",htc global services
consumer electronics & appliances,"pune,maharashtra, india",syska led lights
pharma,"hyderabad/secunderabad, telangana, india",granules india
it services & consulting,"mumbai, maharashtra, india",nse.it
engineering & construction,"mumbai, maharashtra, india",itd cementation india
auto components,"gothenburg, sweden",skf
pharma,"paris, france",sanofi
building material,"mumbai, india",nuvoco vistas
engineering & construction,"nasik/nashik, maharashtra, india",ashoka buildcon
media & entertainment,"noida, uttar pradesh, india",dish tv
automobile,"new delhi, india",hero motors company
financial services,"paris, france",bnp paribas
healthcare,"bangalore/bengaluru, karnataka, india",manipal hospitals
it services & consulting,"chennai, tamil nadu, india",miramed ajuba
auto components,"gurgaon/gurugram, haryana, india",asahi india glass
defence & aerospace,"hyderabad/secunderabad, telangana, india",ecil
financial services,"stamford, unitedstates",synchrony
pharma,"mumbai, maharashtra, india",indoco remedies
pharma,"mumbai, maharashtra, india",unichem laboratories
fmcg,"mumbai, india",godrej group
fashion & textile,"brande, denmark",best sellers
financial services,"jacksonville, florida, united states (usa)",fidelity national financial
oil & gas,india,petrofac
fmcg,"greater chicago area, il, united states of america",mondelez international
telecom,"mumbai,maharashtra, india",tikona infinet
auto components,,zf rane automotive
insurance,"gurgaon/gurugram, haryana, india",iffco tokio general insurance co.
edtech,"san francisco,california, united states",upgrad
automobile,"berlin, germany",volkswagen
auto components,"kariya, aichi, japan",denso
food processing,"wayzata, minnesota, united states (usa)",cargill
financial services,"delhi/ncr, new delhi, india",bajaj capital
iron & steel,"mumbai, maharashtra, india",essar steel
facility management services,"pune,maharashtra, india",bvg india
broadcasting,"lucknow, uttar pradesh, india",sahara india pariwar
nbfc,"mumbai, maharashtra, india",tata capital
oil & gas,"delhi/ncr, delhi, india",gail
fmcg,"mumbai, maharashtra, india",bisleri
fintech,"delhi,nct, india",aye finance
it services & consulting,"new york city,new york, united states",nielsen
electrical equipment,"gurgaon/gurugram, haryana, india",luminous power technologies
bpo,"saint petersburg, florida, united states (usa)",iqor global services
,"schaffhausen, schaffhausen, switzerland",evalueserve
industrial machinery,"chennai, tamil nadu, india",johnson lifts
retail,"gurgaon/gurugram, haryana, india",devyani international
telecom,"delhi/ncr, new delhi, india",bharat sanchar nigam
it services & consulting,"santa clara, california, united states (usa)",aricent
consumer electronics & appliances,"delhi/ncr, new delhi, india",intex technologies
financial services,"bhubaneswar,odisha, india",annapurna finance
healthcare,germany,fresenius kabi
auto components,"delhi/ncr, delhi, india",shriram pistons & rings
consumer electronics & appliances,"haidian district, beijing, china",xiaomi
automobile,"gurgaon,",bajaj motors
engineering & construction,"al jubail, saudi arabia",nsh
beverage,"leuven, belgium",ab inbev
oil & gas,"delhi/ncr, delhi, india",oil and natural gas corporation
industrial machinery,"deerfield, illinois, united states (usa)",caterpillar inc
nbfc,"mumbai, maharashtra, india",icici home finance
automobile,"pontedera, italy",piaggio
bpo,"pune, indore, india",taurus bpo services
power,"aarhus,central denmark region, denmark",vestas
retail,"kolkata, west bengal, india",spencer's retail
it services & consulting,"dallas, texas, united states (usa)",slk global services
financial services,"zurich, switzerland",credit suisse
internet,"chandigarh,union territory of chandigarh, india",altruist technologies
hospitality,"miami, united states (usa)",burger king
electrical equipment,"mumbai, maharashtra, india",polycab wires
fintech,"mumbai, maharashtra, india",fino payments bank
logistics,"new york, unitedstates",abc
bpo,"lagos, nigeria",ison xperiences
it services & consulting,"london, united kingdom",photon interactive
pharma,"noida, uttar pradesh, india",jubilant pharmova
auto components,"paris, france",valeo
insurance,"pune, maharashtra, india",arthur j. gallagher & co
power,"mumbai,",wind world
chemicals,"delhi/ncr, new delhi, india",dcm shriram
pharma,"brantford, ontario, canada",apotex research
retail,"pune,maharashtra, india",firstcry
it services & consulting,"rockville , united states (usa)",infinite computer solutions
auto components,"lower saxony, hanover, germany",continental automotive components
pharma,"bridgewater, new jersey, united states (usa)",amneal pharmaceuticals
other,"london, united kingdom (uk)",intertek
chemicals,"valsad, india",atul
pharma,"bangalore/bengaluru, karnataka, india",strides pharma
healthcare / pharma,"gurugram, india",fortis hospitals
power,"zamudio, vizcaya, spain",siemens gamesa renewable energy
other,"munich, germany",tuv sud
auto components,"kanchipuram, tamil nadu, india",mando automotive
education & training,"mumbai, maharashtra, india",podar international school
auto components,"lake forest, illinois, united states (usa)",tenneco
financial services,"delhi/ncr, new delhi, india",pnb housing finance
internet,"mountain view,california, united states",google
hospitality,"delhi/ncr, delhi, india",lemon tree hotels
healthcare,"bangalore/bengaluru, karnataka, india",columbia asia
oil & gas,"nellore, andhra pradesh, india",bgr energy systems
