06-MarScoToc-industry,06-MarScoToc-headquarter,06-MarScoToc-name
consumer electronics & appliances,"michigan, united states (usa)",whirlpool
retail,"mumbai, maharashtra, india",big bazaar
defence & aerospace,"delhi/ncr, delhi, india",indian navy
it services & consulting,"noida, uttar pradesh, india",niit technologies
healthcare,"mumbai,maharashtra, india",iks health
logistics,"pune,maharashtra, india",elasticrun
insurance,"mumbai, india",bharti axa life insurance
auto components,"kanchipuram, tamil nadu, india",delphi tvs
hardware & networking,"pune, maharashtra, india",sterlite technologies
retail,"bangalore,karnataka, india",myntra
logistics,"pune,maharashtra, india",xpressbees
automobile,"greater noida, uttar pradesh, india",honda
it services & consulting,"mumbai, maharashtra, india",3i infotech
real estate,"bangalore/bengaluru, karnataka, india",sobha
telecom,"london, united kingdom (uk)",bt group
chemicals,"mumbai, maharashtra, india",kansai nerolac paints
nbfc,"mumbai, maharashtra, india",tata motors finance
,"mumbai, maharashtra, india",icici securities
nbfc,"gurgaon/gurugram, haryana, india",indiabulls
printing & publishing,"toronto, canada",thomson reuters
auto components,"new delhi, india",jk tyres
it services & consulting,"pune, maharashtra, india",cybage
chemicals / agri inputs,"gurgaon/gurugram, haryana, india",srf
oil & gas,"london, england, india",shell
oil & gas,"mumbai, maharashtra, india",bharat petroleum
insurance,"mumbai, india",future generali india life insurance
real estate,"mumbai, maharashtra, india",lodha group
iron & steel,"delhi/ncr, new delhi, india",bhushan power & steel
it services & consulting,"cork, ireland",johnson controls
auto components,"aurangabad, maharashtra, india",endurance technologies
internet,"gurgaon,haryana, india",blinkit
engineering & construction,"boston, massachusetts, united states (usa)",ge
industrial machinery,"rocester, staffordshire, england",jcb
pharma,"mumbai, maharashtra, india",wockhardt
non-profit,"hyderabad/secunderabad, telangana, india",gvk emergency management and research institute
retail,"mumbai, maharashtra, india",crom?
banking,"london, unitedkingdom",barclays
internet,"gurgaon,haryana, india",zomato
auto components,"pune, maharashtra, india",gabriel india
it services & consulting,"san jose, california, united states (usa)",css corp
auto components,"chennai, tamil nadu, india",lucas-tvs
agriculture,"hyderabad/secunderabad, telangana, india",coromandel international
power,"mumbai, maharashtra, india",kalpataru power transmission
internet,"noida, uttar pradesh, india",info edge
pharma,"ahmedabad, gujrat, india",cadila pharmaceuticals
building material,"paris, france",saint-gobain
it services & consulting,"noida, uttar pradesh, india",coforge
it services & consulting,"paris, ile-de-france, france",sopra steria
real estate,"gurgaon,haryana, india",square yards
accounting & auditing,"la défense, france",bureau veritas
engineering & construction,"hyderabad/secunderabad, telangana, india",power mech projects
food processing,"mumbai, india",parle products
insurance,"paris, france",axa business services
pharma,"bangalore/bengaluru, karnataka, india",syngene international
financial services,"mumbai, india",tata capital financial services
it services & consulting,"gurgaon/gurugram, haryana, india",ba continuum
industrial machinery,"garner, north carolina, united states (usa)",sigma electric manufacturing corporation
it services & consulting,"hyderabad/secunderabad, telangana, india",valuelabs
it services & consulting,"noida, uttar pradesh, india",rmsi
automobile,"iwata, shizuoka, japan",yamaha motor
fmcg,"ahmedabad, gujrat, india",adani wilmar
defence & aerospace,"bangalore/bengaluru, karnataka, india",hindustan aeronautics
automobile,"chennai, tamil nadu,",renault nissan technology & business centre india
banking,"mumbai, maharashtra, india",idbi bank
analytics & kpo,"hyderabad/secunderabad, telangana, india",karvy data management services
financial services,"jaipur, rajasthan, india",aavas financiers
hospitality,"delhi/ncr, delhi, india",oberoi group of hotels
pharma,"hyderabad/secunderabad, telangana, india",msn laboratories
it services & consulting,"new york, united states (usa)",metlife
hospitality,"new delhi, delhi, india",hyatt regency
logistics,"bangalore,karnataka, india",ninjacart
healthcare,"gurgaon/gurugram, haryana, india",dr lal pathlabs
aviation,"mumbai, maharashtra, india",jet airways
financial services,"mumbai, india",piramal group
hardware & networking,"san jose,california, united states",cisco
it services & consulting,"new york city,new york, united states",s&p global
healthcare,"bangalore/bengaluru, karnataka, india",narayana health
it services & consulting,"bangalore/bengaluru, karnataka, india",fujitsu
it services & consulting,"walldorf, baden-württemberg, germany",sap
media & entertainment,"mumbai, maharashtra, india",tata play
it services & consulting,"mumbai,maharashtra, india",cms infosystems
insurance,"gurgaon/gurugram, haryana, india",canara hsbc life insurance
retail,"bangalore/bengaluru, karnataka, india",metro
telecom,"chennai,tamil nadu, india",sify technologies
fashion & textile,,vardhman fabrics
hospitality,"mumbai, maharashtra, india",taj hotels resorts and palaces
pharma,"delhi/ncr, new delhi, india",akums drugs & pharmaceuticals
pharma,"hyderabad/secunderabad, telangana, india",aragen life sciences
it services & consulting,"eindhoven, north brabant, netherlands",here technologies
electronics manufacturing,"taipei, taiwan",foxconn
engineering & construction,"dallas, usa",aecom
